name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,ref_drug,ref_target,similarity,dili_prob,dili_risk
T1789,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,420.63,5.11,77.8,3,3,5,1,Obeticholic acid (OCA),FXR,1.0000,0.0308,Low
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],477.69,4.23,106.9,4,4,7,0,Obeticholic acid (OCA),FXR,0.8103,0.043,Low
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,392.62,4.63,60.7,3,3,4,0,Obeticholic acid (OCA),FXR,0.7736,0.0297,Low
T4083,CC[C@@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,406.65,5.02,60.7,3,3,5,1,Obeticholic acid (OCA),FXR,0.7593,0.0312,Low
T8752,[H][C@@]12CC[C@]([H])([C@H](C)CCCO)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@H](CC)[C@@H](O)[C@@]21[H],406.65,5.02,60.7,3,3,5,1,Obeticholic acid (OCA),FXR,0.7593,0.0289,Low
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],527.77,4.03,123.9,4,5,8,1,Obeticholic acid (OCA),FXR,0.7031,0.0453,Low
T2968,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]21[H],392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6909,0.0397,Low
T0700,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6667,0.031,Low
T0847,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6667,0.0325,Low
T29078,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6667,0.025,Low
T13506,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6667,0.0287,Low
T207107,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.6667,0.0299,Low
T2202,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]34[H])[C@@]1(C)CC[C@@H](O)C2,376.58,5.51,57.5,2,2,4,1,Obeticholic acid (OCA),FXR,0.6207,0.0357,Low
T35792,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.5,2,2,4,1,Obeticholic acid (OCA),FXR,0.6207,0.033,Low
T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.5,2,2,4,1,Obeticholic acid (OCA),FXR,0.6207,0.035,Low
T13522,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,390.56,4.69,74.6,2,3,4,0,Obeticholic acid (OCA),FXR,0.6066,0.059,Low
T11662L,[H][C@@]12CC[C@]([H])([C@H](C)C[C@H](C)C(=O)O)[C@@]1(C)[C@@H](O)C[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],450.66,4.33,98,4,4,5,0,Obeticholic acid (OCA),FXR,0.5938,0.0481,Low
T207106,[H][C@@]12CC(=O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)O,390.56,4.69,74.6,2,3,4,0,Obeticholic acid (OCA),FXR,0.5902,0.0527,Low
T8153,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@@]21[H],449.63,3.59,106.9,4,4,6,0,Obeticholic acid (OCA),FXR,0.5625,0.0535,Low
TMIH-0590,[H][C@@]12CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC([2H])([2H])[C@@H](O)C([2H])([2H])[C@@]3([H])C[C@H](O)[C@@]21[H],396.6,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.5625,0.0612,Low
T65070,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,391.57,3.14,80.6,2,4,4,0,Obeticholic acid (OCA),FXR,0.5484,0.0411,Low
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,449.63,3.59,106.9,4,4,6,0,Obeticholic acid (OCA),FXR,0.5455,0.039,Low
T5234,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,449.63,3.59,106.9,4,4,6,0,Obeticholic acid (OCA),FXR,0.5455,0.0392,Low
T10623,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,408.6,4.93,57.5,2,3,5,0,Obeticholic acid (OCA),FXR,0.5312,0.0309,Low
T10087,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CC(=O)O)CC[C@@]3([H])[C@]1([H])[C@@H](O)C2,378.55,4.09,77.8,3,3,3,0,Obeticholic acid (OCA),FXR,0.5246,0.0423,Low
T2963,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,408.58,3.45,98,4,4,4,0,Obeticholic acid (OCA),FXR,0.5231,0.0351,Low
T7331,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,3.45,98,4,4,4,0,Obeticholic acid (OCA),FXR,0.5231,0.0345,Low
T19189,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,3.45,98,4,4,4,0,Obeticholic acid (OCA),FXR,0.5231,0.0309,Low
T7628,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,374.57,5.43,57.5,2,2,4,1,Obeticholic acid (OCA),FXR,0.5152,0.0853,Low
T2965,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.5077,0.0947,Low
T13505,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.5077,0.0331,Low
T84944,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.5077,0.0358,Low
