name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
T1789,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,420.63,5.11,77.8,3,3,5,1,1.0000,Obeticholic acid (OCA),FXR
T3595,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,435.23,2.1,146.5,2,7,4,0,1.0000,Resmetirom,THR-beta
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,569.64,3.95,135.0,1,9,9,1,1.0000,Firsocostat (GS-0976),ACC
T7395,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,434.93,4.55,89.3,1,5,6,0,1.0000,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
TQ0243,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(N)=O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,568.65,3.35,140.8,1,9,9,1,0.8889,Firsocostat (GS-0976),ACC
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],477.69,4.23,106.9,4,4,7,0,0.8103,Obeticholic acid (OCA),FXR
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,392.62,4.63,60.7,3,3,4,0,0.7736,Obeticholic acid (OCA),FXR
T15271,Cc1n[nH]c(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)n1,439.56,5.25,85.7,1,4,4,1,0.7612,Denifanstat (TVB-2640),FASN
T4083,CC[C@@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,406.65,5.02,60.7,3,3,5,1,0.7593,Obeticholic acid (OCA),FXR
T8752,[H][C@@]12CC[C@]([H])([C@H](C)CCCO)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@H](CC)[C@@H](O)[C@@]21[H],406.65,5.02,60.7,3,3,5,1,0.7593,Obeticholic acid (OCA),FXR
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],527.77,4.03,123.9,4,5,8,1,0.7031,Obeticholic acid (OCA),FXR
T2968,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]21[H],392.58,4.48,77.8,3,3,4,0,0.6909,Obeticholic acid (OCA),FXR
T2963,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,408.58,3.45,98.0,4,4,4,0,0.6866,Aramchol,SCD1
T7331,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,3.45,98.0,4,4,4,0,0.6866,Aramchol,SCD1
