rank,name,smiles,max_tc,DrugCLIP_Score,DrugCLIP_Target,active_score,toxicity_score
1,T15621,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,0.252700,0.673800,PPARG,0.309145,0.560439
2,T17243,Cc1csc(N(C(=O)CSc2ccc(-c3ccccc3)nn2)C2CC2)n1,0.153200,0.696800,PPARG,0.265576,0.534375
3,T37385,Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(OC(F)(F)F)c3)nn2)s1,0.154800,0.615700,PPARG,0.259582,0.510457
4,T3261,COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc(=O)c4c([nH]3)CCOC4)CC3CC3)CC2)cc1,0.165100,0.486100,AOC3,0.300714,0.526004
5,T27682,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,0.178600,0.575700,PPARG,0.269557,0.526658
6,T6362,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,0.132700,0.520500,PPARG,0.273974,0.524805
7,T27482,CCc1ccc([C@H]2C[C@@H](C(F)(F)F)n3ncc(C(=O)NCc4ccc(F)cn4)c3N2)cc1,0.162800,0.463400,RXRA,0.289691,0.498294
8,T11648,COc1ccc([C@]2(O)CC[C@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,0.176500,0.496600,AOC3,0.263836,0.466382
9,T73461,CC(C)C[C@@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,0.198000,0.499500,PPARD,0.287457,0.542530
10,T64362,O=c1ccccn1-c1ccc(N[C@H]2CC[C@H](Nc3ncc(OC(F)F)cn3)C2)nc1,0.153200,0.548800,PPARG,0.281997,0.562664
