rank,name,smiles,max_tc,DrugCLIP_Score,DrugCLIP_Target,active_score,toxicity_score,recommend_score
1,T15621,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,0.252700,0.673800,PPARG,0.309145,0.560439,0.135888
2,T17243,Cc1csc(N(C(=O)CSc2ccc(-c3ccccc3)nn2)C2CC2)n1,0.153200,0.696800,PPARG,0.265576,0.534375,0.123659
3,T37385,Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(OC(F)(F)F)c3)nn2)s1,0.154800,0.615700,PPARG,0.259582,0.510457,0.127076
4,T9032,O=C(CSc1ncn[nH]1)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,0.129000,0.693400,PPARG,0.303293,0.612475,0.117534
5,T27682,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,0.178600,0.575700,PPARG,0.269557,0.526658,0.127593
6,T7163,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,0.234000,0.588900,THRSP,0.322735,0.621084,0.122289
7,T31048,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1,0.168400,0.623000,RXRA,0.275089,0.575375,0.116810
8,T3504L,COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)[C@H]5C)cc4)CC3)nn12,0.176500,0.656200,RXRG,0.315853,0.635856,0.115016
9,T5408,CNC(=O)COc1cc2cc(Nc3nc(N4C[C@H](C)C[C@H](C)C4)ncc3Cl)ccc2n(C)c1=O,0.166700,0.708500,PPARG,0.342907,0.670056,0.113140
10,T9993,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(Cl)c4)c23)CC1,0.191900,0.588900,PPARG,0.304713,0.604948,0.120377
