rank,name,smiles,max_tc,DrugCLIP_Score,DrugCLIP_Target,active_score,toxicity_score
1,T15621,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,0.252700,0.673800,PPARG,0.309145,0.560439
2,T39000,CC(C)(C)C(=O)NCc1ccc(Cl)c(-c2nn(-c3ccc(C(F)(F)F)cc3)c(=O)[nH]2)c1,0.215900,0.533700,RXRA,0.256041,0.516007
3,T7163,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,0.234000,0.588900,THRSP,0.322735,0.621084
4,T73461,CC(C)C[C@@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,0.198000,0.499500,PPARD,0.287457,0.542530
5,T78127,C[C@H](NCc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(N)=O,0.213100,0.517600,AOC3,0.255482,0.532037
6,T37622,CNc1nc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)ccc1C,0.218800,0.542000,THRSP,0.256953,0.558636
7,T13323,COc1cc(C(=O)Nc2cc(OC(F)(F)F)ccc2-n2cncn2)ccc1OCC1CC1,0.214300,0.491900,PPARG,0.266368,0.544400
8,T12431,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,0.236400,0.441700,RXRG,0.284668,0.556846
9,T68092,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCNC2=O)CC1,0.233300,0.479700,NR1H3,0.258008,0.554121
10,T9993,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(Cl)c4)c23)CC1,0.191900,0.588900,PPARG,0.304713,0.604948
