ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
TN1600,CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,10079039,C42H68O14,797.0,3.5,236,1520,9,14,7
TN1836,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4C=CC4=C6[C@]7(CC[C@](C)(OC7=O)[C@@]6(C)O)CC[C@]45C)C3(C)C)OC[C@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,73214255,C47H72O17,909.1,0.8,264,1890,9,17,7
TQ0065,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C(=O)[C@H](O)[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,204810,C24H32O6,416.5,1.7,104,847,3,6,1
TN1198,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@@]43CO)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1,101375811,C24H34O5,402.5,2,87,758,3,5,2
TN1345,COc1c2ccoc2c(O)c2oc(=O)ccc12,3083726,C12H8O5,232.19,1.9,68.9,353,1,5,1
TN2097,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,382831,C30H48O4,472.7,5.9,77.8,923,3,4,1
TN1121,CCCCC=CCCCCCCCc1cc(=O)c2ccccc2n1C,599665,C23H33NO,339.5,7.3,20.3,451,0,2,11
TN2202,c1ccc2c(c1)[nH]c1c2cc[n+]2cc3c(cc12)CCCC3,165550,C19H17N2+,273.4,5.7,19.9,395,1,0,0
T25821,CCOC(=O)C1(CCOc2ccccc2)CCN(Cc2ccc(O)c(Cl)c2)CC1,23723882,C23H28ClNO4,417.9,4.6,59,503,1,5,9
TN1342,CC(=O)O[C@H]1C[C@H]2C(=O)O[C@H](c3ccoc3)C[C@@]2(C)[C@@H]2C[C@@H]3C[C@@H](C(=O)O3)[C@@H]12,139035029,C21H24O7,388.4,2.2,92,705,0,7,3
