ID,SMILES,MolWt
Fr16745,N#CCc1ccc(O)cc1,133.15
PDK0101,Cc1ccc(/C=C/C(=O)O)cc1,162.19
T0035,C/C=C(/C(=C/C)c1ccc(O)cc1)c1ccc(O)cc1,266.34
T0040,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,364.53
T0074,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,315.87
T0074L,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.Cl,352.33
T0077,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],336.24
T0081,O=C(CS(=O)Cc1ccco1)NC/C=C\COc1cc(CN2CCCCC2)ccn1,431.56
T0124,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C\C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N\O)[C@H]4OC/C(=C/C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O,769.97
T0133,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,395.42
T0139,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,405.97
T0143,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,766.97
T0147,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,459.97
T0152,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,530.46
T0178,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2.O,333.43
T0185,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.40
T0191,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,472.55
T0205,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,435.32
T0236,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,522.55
T0237,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,663.08
T0245,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,433.50
T0300,C#CCN(C)Cc1ccccc1,159.23
T0301,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,312.45
T0313,Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O.[Na+].[Na+].[Na+].[Na+],960.82
T0323,CN1CCCN=C1/C=C/c1cccc(O)c1.O=C(O)c1c(O)cc2ccccc2c1Cc1c(C(=O)O)c(O)cc2ccccc12,604.66
T0363,Cc1ccsc1/C=C/C1=NCCCN1C.O=C(O)[C@H](O)[C@@H](O)C(=O)O,370.43
T0368,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC.O=C(O)/C=C\C(=O)O,533.58
T0370,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O,356.42
T0373,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.44
T0373L,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90
T0374,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,532.57
T0374L,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,398.48
T0376,C/C=C/C(=O)N(CC)c1ccccc1C,203.29
T0380,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38
T0385,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,606.10
T0388,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,492.53
T0393,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,293.37
T0395,CN1CCCN=C1/C=C/c1cccs1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,356.40
T0395L1,CN1CCCN=C1/C=C/c1cccs1.Cl,242.78
T0402,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,361.49
T0413,CCNC(=O)/C=C/c1cccc(Br)c1,254.13
T0459,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,356.42
T0492,COC(=O)/C=C/C(=O)OC,144.13
T0502,c1ccn2[O-]->[Zn+2]3(<-[O-]n4ccccc4=[S]3)[S]=c2c1,317.71
T0534,N#Cc1ccc(C(O)c2ccc(C#N)cc2)cc1,234.26
T0536,N#CC1CC1,67.09
T0555,CCN(CC)CC#CCO,141.21
T0563,COc1ccc(CC#N)cc1OC,177.20
T0580,C#CCCC(=O)O,98.10
T0593,COc1cc(/C=C(\C#N)C(=O)Nc2nnc(C(F)(F)F)s2)ccc1OCc1ccc(C(F)(F)F)cc1C(F)(F)F,596.43
T0609,c1ccc(/N=N/c2ccccc2)cc1,182.23
T0610,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,244.25
T0623,N#CC(c1ccccc1)c1ccccc1,193.25
T0681,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,822.95
T0685,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,328.50
T0704,N#CCC(=O)NN,99.09
T0709,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,665.73
T0718,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,333.14
T0725,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,256.26
T0751,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,225.16
T0762,C/C=C/c1ccc(OC)cc1,148.20
T0770,COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],262.23
T0773,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,316.38
T0777,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,869.15
T0785,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,390.87
T0797,CN=C(NC#N)NCCSCc1nc[nH]c1C,252.35
T0806,Cl.Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,477.43
T0819,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,843.06
T0835,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,563.65
T0852,CN1C2=CC(=O)/C(=N\NC(N)=O)C=C2CC1S(=O)(=O)[O-].[Na+],322.28
T0861,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC.O=C(O)C(O)C(O)C(=O)O,1066.20
T0865,CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl,350.87
T0868,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1.Cl.Cl.O,571.51
T0868L,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,480.57
T0896,Cl.O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,360.75
T0903,C(=C\c1ccccc1)/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,368.52
T0907,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,398.40
T0911,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],477.46
T0932,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,453.46
T0945,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1202.63
T0969,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,899.13
T0994,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,425.51
T0996,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,384.52
T10002,C/C=C/CC1(CC)C(=O)NC(=O)NC1=O,210.23
T10017,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(O)CO,354.53
T1003,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C\C(C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,916.11
T10032,CS(=O)(=O)c1ccc(-c2cc(C#N)nn2-c2ccc(F)cc2)cc1,341.37
T10035,CCCCCCCCCCC#CC#CCCCCCCCCC(=O)O,346.56
T10038,CCCCCC/C=C\CCCCCCCCCCOC(C)=O,310.52
T10098,CC(C)(C)c1cc(/C=C2\CCOC2=O)cc(C(C)(C)C)c1O,302.41
T1010,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,491.07
T10142,C#Cc1ccc(C[C@H](N)C(=O)O)cc1,189.21
T10142L,C#Cc1ccc(C[C@H](N)C(=O)O)cc1.Cl,225.68
T10146,COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(O)c1CC=C(C)C,338.40
T10148,CCCCCC(O)/C=C/C=O,156.22
T10188,N#CN1CC[C@H](C(=O)Nc2ncc(N3CCOCC3)s2)C1,307.38
T10232,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,643.72
T10237,Cl.N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CC2)nc1N,400.91
T10248,Cc1nccn1-c1sc(Nc2cnccn2)nc1-c1cccc(C#N)c1,359.42
T10276,CCn1c(-c2nonc2N)nc2c(C#CCO)ncc(OCCCN)c21,357.37
T10276L,CCn1c(-c2nonc2N)nc2c(C#CCO)ncc(OCCCN)c21.Cl,393.84
T1029,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.44
T1030,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl.O,332.88
