ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,VK2809,THR-beta,0.4658,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,VK2809,THR-beta,0.2527,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,VK2809,THR-beta,0.2247,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,VK2809,THR-beta,0.1714,RXRB,0.354,活性,低毒性,NR1H4,9971
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,VK2809,THR-beta,0.1633,GPAM,0.4006,活性,低毒性,PPARG,5468
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,VK2809,THR-beta,0.1584,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,VK2809,THR-beta,0.1579,RXRA,0.2966,活性,低毒性,PPARG,5468
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,VK2809,THR-beta,0.1557,PPARG,0.4209,活性,毒性,ACACA,31;32
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,VK2809,THR-beta,0.1443,PPARG,0.2467,活性,低毒性,PPARG,5468
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,VK2809,THR-beta,0.1415,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,VK2809,THR-beta,0.134,PPARG,0.3794,活性,低毒性,ACACA,47;31
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,VK2809,THR-beta,0.1287,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,VK2809,THR-beta,0.1275,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,VK2809,THR-beta,0.1209,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,VK2809,THR-beta,0.1209,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,VK2809,THR-beta,0.1193,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,VK2809,THR-beta,0.1176,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
