ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
T0002,CCNCC.O=S(=O)(O)c1cc(O)ccc1O,0.71080524,0.057470813,0.13473733,0.017780626,0.8474821
T0004,NC(=O)c1ccccc1O,0.6764406,0.07895154,0.15043075,0.024911854,0.8246574
T0005,CC(=O)Oc1ccccc1C(=O)O,0.5448921,0.03122354,0.1346299,0.0018802459,0.86348987
T0006,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],0.8831414,0.15312682,0.083454624,0.048070077,0.86847526
T0007,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.61541444,0.15450943,0.32358992,0.08099453,0.5954155
T0007L,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.5750604,0.15451069,0.3732543,0.06898738,0.5577584
T0008,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],0.68375075,0.06896833,0.0763361,0.007000314,0.9166635
T0009,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,0.8007311,0.19766825,0.3383908,0.11558652,0.54602265
T0010,S=c1nc[nH]c2nc[nH]c12,0.6657959,0.029593168,0.05311206,0.003263994,0.943624
T0011,OCCc1ccccc1,0.4378333,0.0488373,0.16999093,0.007989386,0.8220197
T0012,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,0.70141596,0.15378763,0.2889486,0.12627143,0.5847799
T0013,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,0.6939814,0.08839136,0.23553115,0.029176822,0.7352921
T0014,CC=Cc1ccc(OC)cc1,0.522814,0.08761445,0.32160115,0.041794755,0.6366041
T0015,Cc1ccccc1OCC(O)CO,0.5194041,0.0509881,0.17321499,0.009681182,0.8171038
T0016,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,0.7149161,0.11364763,0.3246301,0.07513455,0.60023534
T0017,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0.67299426,0.070264824,0.14553334,0.010429527,0.8440371
T0018,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,0.7141995,0.119060814,0.12680459,0.032351602,0.84084386
T0019,C[N+](C)(C)CC(=O)O.[Cl-],0.75592566,0.029698124,0.029109668,0.0014802143,0.9694101
T0020,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],0.5834287,0.052282706,0.13651258,0.0071773143,0.85631007
T0022,NCCS(=O)(=O)O,0.64942783,0.03186668,0.07848421,0.0058161737,0.9156996
T0023,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],0.7534358,0.08698815,0.1099538,0.022687346,0.8673589
T0024,CCC1(c2ccccc2)C(=O)NCNC1=O,0.73097795,0.095830545,0.15099156,0.042374127,0.8066343
T0025,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.8076997,0.22587675,0.30746344,0.11603239,0.5765042
T0026,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,0.75869673,0.09483538,0.21960379,0.075939395,0.7044568
T0027,CCCCC(CC)COC(=O)c1ccccc1O,0.58041924,0.084262736,0.18580881,0.017766468,0.79642475
T0028,NCC(O)CC(=O)O,0.7080556,0.027619096,0.065787554,0.0019888629,0.93222356
T0030,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,0.58331156,0.09868222,0.19655576,0.02119617,0.7822481
T0031,Cl.O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.69785285,0.22708316,0.26782206,0.08808401,0.64409393
T0031L,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.7041795,0.23861517,0.26232272,0.08991067,0.64776653
T0031L2,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.84023845,0.30514354,0.28699413,0.19210073,0.5209052
