rank,ID,SMILES,active_score,activity_level,toxicity_score,P_tox_high,toxicity_level,recommend_score
1,T18680L,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#Cc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,0.324802616603304,高,0.40483178,0.2432132,低毒,0.1933121951751309
2,T18680,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#Cc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NC(c1ccccc1)c1ccccc1,0.3469166930778548,高,0.46669551,0.2504632,低毒,0.18501223007437187
3,T74637L,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1.O=C(O)C(F)(F)F,0.335630110270896,高,0.45252739,0.25926924,低毒,0.18374829246459526
4,T18870,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)OCc1ccc(NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](NC(=O)CCCCCN2C(=O)C=CC2=O)C(C)C)cc1)C(C)C,0.350212385156562,高,0.48595948,0.28251162,低毒,0.1800233565763194
5,T11832,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C.O=C(O)[C@@H](O)[C@H](O)C(=O)O,0.267691168410336,中,0.34951652,0.25781372,低毒,0.17412868279282145
6,T201032,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1C[C@@H](OCCCCCC#Cc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)C[C@H]1C(=O)N1CCO[C@H](c2ccccc2)C1,0.3387101632109988,高,0.50015632,0.26777676,低毒,0.16930213443278624
7,T18311,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN1C(=O)C=CC1=O)C(C)C,0.307820754049545,高,0.4605518,0.2866398,低毒,0.16605335169466978
8,T69940,O=C(N[C@@H](CCCCN[C@@H]1C[C@H]1c1ccccc1)C(=O)NCc1cccc(Cl)c1)c1ccc(-c2ccccc2)cc1.O=C(O)C(F)(F)F,0.227840257268168,中,0.29408663999999995,0.21871406,低毒,0.1608354815514369
9,T18361,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCSC1CC(=O)N(CC2CCC(C(=O)ON3C(=O)CCC3=O)CC2)C1=O)C(C)C,0.28271620554624,中,0.439905975,0.32658178,低毒,0.15834765749712088
10,T4203,CC(C)=O.COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C,0.32157408440055996,高,0.51140703,0.28962973,低毒,0.15711883697230025
