rank,ID,source,Active_Target_Genes,DrugCLIP_Best_Gene,DrugCLIP_Best_Score
1,T18680L,predict,,ACACA,0.321
2,T18680,predict,,ACACA,0.241
3,T74637L,predict,,RXRG,0.377
4,T18870,predict,,AOC3,0.196
5,T10988,train,ADRA2A;ADRB2,AOC3,0.374
6,T11832,predict,,SCD,0.445
7,T15109,train,CYP2C9;CYP2D6;CYP3A7;GAMT;GNMT;HNMT;NNMT;NR1I3;NSD2;NTMT1;PNMT;SYK;TOP1P1;TP53,PPARG,0.3
8,TP1324,train,POLK;VDR;nan,SCD,0.387
9,T6200,train,ACHE;ADORA3;ADRA1A;ADRA2A;AR;CHRM1;CHRM2;DRD1;DRD3;ESR1;GAMT;GNMT;HNMT;HTR1A;HTR2B;IFNG;KCNH2;KDR;NNMT;OPRM1;PGR;PNMT;SLC6A2;SLC6A3;SLC6A4;nan,PPARG,0.451
10,T78212,train,,THRSP,0.402
