rank,name,cid,rdkit_MW,pc_MW,d_MW,rdkit_LogP,pc_XLogP,d_LogP,rdkit_TPSA,pc_TPSA,d_TPSA,rdkit_HBD,pc_HBD,rdkit_HBA,pc_HBA,rdkit_RotB,pc_RotB,flag,severity,interpretation
1,T7331,122340,408.58,408.6,-0.02,3.45,3.6,-0.15,97.99,98,-0.01,4,4,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
2,T19189,160636,408.58,408.6,-0.02,3.45,3.6,-0.15,97.99,98,-0.01,4,4,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
3,T0700,31401,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
4,T0847,10133,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
5,T5072,10140,465.63,465.6,0.03,2.56,2.9,-0.34,127.09,127,0.09,5,5,5,6,6,6,HBA:5vs6,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
6,T13522,444262,390.56,390.6,-0.04,4.69,4.6,0.09,74.6,74.6,0.00,2,2,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
7,TMIH-0148,16217616,412.6,412.6,0.00,3.45,3.6,-0.15,97.99,98,-0.01,4,4,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
8,T1789,447715,420.63,420.6,0.03,5.11,5.7,-0.59,77.76,77.8,-0.04,3,3,3,4,5,5,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
9,T7395,68677842,434.93,434.9,0.03,4.55,4.5,0.05,89.26,126,-36.74,1,1,5,6,6,6,TPSA差36.7;HBA:5vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
10,T5234,12310288,449.63,449.6,0.03,3.59,4.3,-0.71,106.86,107,-0.14,4,4,4,5,6,6,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
11,TWA2417,22787950,514.71,514.7,0.01,2.03,2.1,-0.07,146.99,155,-8.01,4,4,7,7,7,6,TPSA差8.0;RotB:7vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
12,T2965,2987,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
13,T5259,9548796,448.62,448.6,0.02,2.26,4.9,-2.64,109.69,110,-0.31,3,3,5,5,6,5,LogP差2.6;RotB:6vs5,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
14,T14002,3080612,390.56,390.6,-0.04,4.69,4.6,0.09,74.6,74.6,0.00,2,2,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
15,T3595,15981237,435.23,435.2,0.03,2.1,2.7,-0.60,146.52,136,10.52,2,2,7,7,4,4,TPSA差10.5,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
16,T4083,101886302,406.65,406.6,0.05,5.02,5.9,-0.88,60.69,60.7,-0.01,3,3,3,3,5,5,,OK,RDKit 与 PubChem 完全一致
17,T7184,71528744,569.64,569.6,0.04,3.95,3.2,0.75,135.02,160,-24.98,1,1,9,10,9,9,TPSA差25.0;HBA:9vs10,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
18,TQ0252,101886309,392.62,392.6,0.02,4.63,5.5,-0.87,60.69,60.7,-0.01,3,3,3,3,4,4,,OK,RDKit 与 PubChem 完全一致
19,TQ0243,71570560,568.65,568.6,0.05,3.35,2.6,0.75,140.81,166,-25.19,1,1,9,9,9,9,TPSA差25.2,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
20,T8092,163358931,498.71,498.7,0.01,3.05,3.5,-0.45,126.76,135,-8.24,3,3,6,6,7,6,TPSA差8.2;RotB:7vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
21,T2532,9848818,499.71,499.7,0.01,3.4,3.6,-0.20,123.93,132,-8.07,4,4,5,6,7,7,TPSA差8.1;HBA:5vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
22,T2A2481,387316,499.71,499.7,0.01,3.4,3.6,-0.20,123.93,132,-8.07,4,4,5,6,7,7,TPSA差8.1;HBA:5vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
23,T6993,51397976,498.71,498.7,0.01,3.05,3.5,-0.45,126.76,135,-8.24,3,3,6,6,7,6,TPSA差8.2;RotB:7vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
24,T4727,9548567,482.71,482.7,0.01,4.08,4.8,-0.72,106.53,115,-8.47,2,2,5,5,7,6,TPSA差8.5;RotB:7vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
25,T5077,9548661,391.57,391.6,-0.03,3.14,5.6,-2.46,80.59,80.6,-0.01,2,2,4,4,4,3,LogP差2.5;RotB:4vs3,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
26,T5254,25203316,448.62,448.6,0.02,2.26,4.9,-2.64,109.69,110,-0.31,3,3,5,5,6,5,LogP差2.6;RotB:6vs5,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
27,T2202,9903,376.58,376.6,-0.02,5.51,6.3,-0.79,57.53,57.5,0.03,2,2,2,3,4,4,HBA:2vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
28,T8153,114611,449.63,449.6,0.03,3.59,4.3,-0.71,106.86,107,-0.14,4,4,4,5,6,6,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
29,T29078,10992862,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
30,T13506,127601,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
31,T207107,164673,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
32,T13505,5283831,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
33,T84944,160530,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
34,T2968,5283820,392.58,392.6,-0.02,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
