name,inchikey,pred_LogS,exp_LogS,sol_match,sol_abs_err,sol_src,pred_bioavail_prob,exp_bioavail_cls,bio_match,bio_agree,bio_src
T7331,BHQCQFFYRZLCQQ-UTLSPDKDSA-N,-4.075,-3.3682,block,0.707,cholic acid,0.615,,,,
T19189,BHQCQFFYRZLCQQ-PGHAKIONSA-N,-4.072,-3.3682,block,0.704,cholic acid,0.601,,,,
T0700,RUDATBOHQWOJDD-UZVSRGJWSA-N,-4.91,-4.2929,exact,0.617,ursodeoxycholic acid,0.619,,,,
T0847,RUDATBOHQWOJDD-BSWAIDMHSA-N,-4.891,-3.6402,exact,1.251,chenodeoxycholic acid,0.617,,,,
T5072,RFDAIACWWDREDC-FRVQLJSFSA-N,-3.72,-5.1495,exact,1.429,glycocholic acid,0.567,,,,
T13522,DXOCDBGWDZAYRQ-AURDAFMXSA-N,-4.807,,,,,0.678,,,,
TMIH-0148,BHQCQFFYRZLCQQ-YFEOEUIKSA-N,-4.89,-3.3682,block,1.522,cholic acid,0.734,,,,
T1789,ZXERDUOLZKYMJM-ZWECCWDJSA-N,-5.405,,,,,0.652,,,,
T7395,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,-4.869,,,,,0.881,,,,
T5234,GHCZAUBVMUEKKP-XROMFQGDSA-N,-4.462,-5.1546,block,0.692,glycochenodeoxycholic acid,0.587,,,,
TWA2417,WBWWGRHZICKQGZ-FBJWDKEHSA-M,-2.871,,,,,0.597,,,,
T2965,KXGVEGMKQFWNSR-UHFFFAOYSA-N,-4.918,-3.95,exact,0.968,deoxycholic_acid,0.706,,,,
T5259,GHCZAUBVMUEKKP-GYPHWSFCSA-M,-4.179,-5.1546,block,0.976,glycochenodeoxycholic acid,0.704,,,,
T14002,CVNYHSDFZXHMMJ-VPUMZWJWSA-N,-4.748,,,,,0.686,,,,
T3595,FDBYIYFVSAHJLY-UHFFFAOYSA-N,-6.151,,,,,0.865,,,,
T4083,DQBAHTQWQZRMFH-CRPAWOMZSA-N,-5.373,,,,,0.709,,,,
T7184,ZZWWXIBKLBMSCS-FQEVSTJZSA-N,-3.395,,,,,0.815,,,,
TQ0252,HYCMOIGNYNCMRH-APIYUPOTSA-N,-5.165,,,,,0.736,,,,
TQ0243,HSRWXLIYNCKHRZ-FQEVSTJZSA-N,-4.122,,,,,0.702,,,,
T8092,HMXPOCDLAFAFNT-BHYUGXBJSA-M,-3.642,,,,,0.606,,,,
T2532,BHTRKEVKTKCXOH-LBSADWJPSA-N,-3.896,,,,,0.457,,,,
T2A2481,BHTRKEVKTKCXOH-BJLOMENOSA-N,-3.871,,,,,0.453,,,,
T6993,BHTRKEVKTKCXOH-LBSADWJPSA-M,-3.561,,,,,0.626,,,,
T4727,QBYUNVOYXHFVKC-GBURMNQMSA-M,-4.191,,,,,0.601,,,,
T5077,KXGVEGMKQFWNSR-LLQZFEROSA-M,-4.707,-3.9544,block,0.753,deoxycholic acid,0.748,,,,
T5254,WVULKSPCQVQLCU-BUXLTGKBSA-M,-4.213,,,,,0.695,,,,
T2202,SMEROWZSTRWXGI-HVATVPOCSA-N,-5.737,-6.0,exact,0.263,lithocholic acid,0.601,,,,
T8153,SPOIYSFQOFYOFZ-BRDORRHWSA-N,-4.561,,,,,0.558,,,,
T29078,RUDATBOHQWOJDD-ASYSNUCISA-N,-4.874,-4.2929,block,0.581,ursodeoxycholic acid,0.618,,,,
T13506,RUDATBOHQWOJDD-DNMBCGTGSA-N,-4.922,-4.2929,block,0.629,ursodeoxycholic acid,0.618,,,,
T207107,RUDATBOHQWOJDD-JGFDLHJZSA-N,-4.917,-4.2929,block,0.624,ursodeoxycholic acid,0.614,,,,
T13505,KXGVEGMKQFWNSR-MFSKYVBHSA-N,-4.992,-3.9544,block,1.037,deoxycholic acid,0.615,,,,
T84944,KXGVEGMKQFWNSR-OFYXWCICSA-N,-4.998,-3.9544,block,1.043,deoxycholic acid,0.607,,,,
T2968,DGABKXLVXPYZII-SIBKNCMHSA-N,-5.02,-4.82,block,0.2,"4-(3,6-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",0.619,,,,
T31964,XBSQTYHEGZTYJE-OETIFKLTSA-N,-5.025,,,,,0.565,,,,
T5352,WVULKSPCQVQLCU-XMPMLJJQSA-N,-4.509,,,,,0.556,,,,
T0408,OHXPGWPVLFPUSM-KLRNGDHRSA-N,-3.993,,,,,0.806,,,,
T2963,BHQCQFFYRZLCQQ-OELDTZBJSA-N,-4.062,-3.3682,exact,0.694,cholic acid,0.605,,,,
T15271,BBGOSBDSLYHMRA-UHFFFAOYSA-N,-5.237,,,,,0.862,,,,
T10087,QYYDXDSPYPOWRO-JHMCBHKWSA-N,-4.417,,,,,0.621,,,,
T11428,MTLPUOZJBFHNSO-FCWTVGIUSA-N,-4.883,,,,,0.602,,,,
TN7583,MIHNUBCEFJLAGN-DMMBONCOSA-N,-3.8,,,,,0.687,,,,
TN7120,RHCPKKNRWFXMAT-RRWYKFPJSA-N,-4.135,,,,,0.694,,,,
T5313,QNAZTOHXCZPOSA-UHFFFAOYSA-N,-4.247,,,,,0.88,,,,
T13502,KIQFUORWRVZTHT-OPTMKGCMSA-N,-5.759,,,,,0.673,,,,
