ID,SMILES,MolWt
T0002,CCNCC.O=S(=O)(O)c1cc(O)ccc1O,263.31
T0004,NC(=O)c1ccccc1O,137.14
T0005,CC(=O)Oc1ccccc1C(=O)O,180.16
T0006,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],373.91
T0007,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34
T0007L,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,266.34
T0008,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],274.25
T0009,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,313.29
T0010,S=c1nc[nH]c2nc[nH]c12,152.18
T0011,OCCc1ccccc1,122.17
T0012,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,294.40
T0013,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,233.27
T0014,CC=Cc1ccc(OC)cc1,148.20
T0015,Cc1ccccc1OCC(O)CO,182.22
T0016,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,242.27
T0017,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.33
T0018,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,271.79
T0019,C[N+](C)(C)CC(=O)O.[Cl-],153.61
T0020,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],211.15
T0022,NCCS(=O)(=O)O,125.15
T0023,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],386.37
T0024,CCC1(c2ccccc2)C(=O)NCNC1=O,218.26
T0025,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87
T0026,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,280.31
T0027,CCCCC(CC)COC(=O)c1ccccc1O,250.34
T0028,NCC(O)CC(=O)O,119.12
T0030,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,324.90
T0031,Cl.O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,467.42
T0031L,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,449.41
