SMILES,Duplicate_IDs,Count
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,T0439;TN2285,2
NC[C@H](O)c1ccc(O)c(O)c1.O.O=C(O)[C@H](O)[C@@H](O)C(=O)O,T0871;T1064,2
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,T0950;T2096,2
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,T1263;T2597,2
NC(=O)c1[nH]cnc1N,T1705;T1722,2
O=C(O)/C=C/c1ccccc1,T2740;T5646,2
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2.Cl,T2793;T2917,2
O=C(O)/C=C/c1ccc(O)c(O)c1,T2807;TMA0003,2
COC(=O)/C=C/c1ccc(O)cc1,T2819;T3733,2
COc1cc(/C=C/C(=O)O)cc(OC)c1OC,T2983;TN2865,2
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,T3044;T7534,2
Cl.N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,T3526;T9395,2
CCn1c(N)c(C(=O)NC)c(=O)c2ccc(C#C[C@@](C)(O)COC)nc21,T3691;T6012,2
COc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(OC)c(OC)c2)cc1OC,T3857;TN1610,2
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,T4024;T22744,2
CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,T4281;T11200,2
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],T6465;T0947L,2
COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,T6649;T13448,2
COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,T6648;T4S0779,2
CC(C)[C@H](N)C(=O)O,T2O2776;T9294,2
OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,T2S0461;T0588,2
C=CC1CNC(=S)O1,T2S1778;T5S0092,2
O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,T2S2173;T7784,2
CCOC(=O)/C=C/c1ccc(O)c(O)c1,T3S0013;T5681,2
O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,T2742;T0176,2
O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,TL0007;T6S1688,2
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,T4708;T5885,2
CCC[C@H](N)C(=O)O,T4788;T11054,2
Cc1ncc(COP(=O)(O)O)c(C=O)c1O.O,T5085;T8083,2
O=C(O)C(O)Cc1c[nH]c2ccccc12,T5230;TQ0265,2
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,T5701;T6S1255,2
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,T6969;T84335,2
COc1ccc(/C=C/C(=O)O)cc1,T5875;T41095,2
C[C@@H]1N=C(N)NC(N(C)C)=N1.Cl,T7486;T22860,2
C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.O.[Na+],TJA2398;T9154,2
Nc1ccccc1C(=O)/C=C/c1cccc([N+](=O)[O-])c1,T8649;T9156,2
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N=C=S)cc21,T15284;T18896,2
CC(=O)O.NCCCC[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CN)C(=O)O,TP2314;TP3221,2
O=S(=O)([O-])CCCN1CCOCC1.[Na+],T19820;T65319,2
CC(=O)O.Cc1cc(O)cc(C)c1C[C@H](NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,T35689;TP1095L,2
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1,T23403;T24051,2
Cl.N[C@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1,T23288L;T23215L,2
COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,T11593;T11004,2
CCc1ccccc1NC(=O)c1cccc(NC(=O)c2ccccc2)c1,T72064;T10572L,2
O=S(=O)(NCc1ccncc1)c1ccc(C2CCCCC2)cc1,T73585;T72063,2
COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,T31860;T31860L,2
