pocket_name,frames,stability
pocket_0,0,1.0000
pocket_1,0,1.0000
pocket_2,0,1.0000
pocket_3,0,1.0000
pocket_4,0,1.0000
pocket_5,0,1.0000
pocket_6,0,1.0000
pocket_7,0,1.0000
pocket_8,0,1.0000
pocket_9,0,1.0000
pocket_10,0,1.0000
pocket_11,0,1.0000
pocket_12,0,1.0000
pocket_13,0,1.0000
pocket_14,0,1.0000
pocket_15,0,1.0000
pocket_16,0,1.0000
pocket_17,0,1.0000
pocket_18,0,1.0000
pocket_19,0,1.0000
pocket_20,0,1.0000
pocket_21,0,1.0000
pocket_22,0,1.0000
pocket_23,0,1.0000
pocket_24,0,1.0000
pocket_25,0,1.0000
pocket_26,0,1.0000
pocket_27,0,1.0000
pocket_28,0,1.0000
pocket_29,0,1.0000
pocket_30,0,1.0000
pocket_31,0,1.0000
pocket_32,0,1.0000
pocket_33,0,1.0000
pocket_34,0,1.0000
pocket_35,0,1.0000
pocket_36,0,1.0000
pocket_37,0,1.0000
pocket_38,0,1.0000
pocket_39,0,1.0000
pocket_40,0,1.0000
pocket_41,0,1.0000
pocket_42,0,1.0000
pocket_43,0,1.0000
pocket_44,0,1.0000
pocket_45,0,1.0000
pocket_46,0,1.0000
pocket_47,0,1.0000
pocket_48,0,1.0000
pocket_49,0,1.0000
pocket_50,0,1.0000
pocket_51,0,1.0000
pocket_52,0,1.0000
pocket_53,0,1.0000
pocket_54,0,1.0000
pocket_55,0,1.0000
pocket_56,0,1.0000
pocket_57,0,1.0000
pocket_58,0,1.0000
pocket_59,0,1.0000
pocket_60,0,1.0000
pocket_61,0,1.0000
pocket_62,0,1.0000
pocket_63,0,1.0000
pocket_64,0,1.0000
pocket_65,0,1.0000
pocket_66,0,1.0000
pocket_67,0,1.0000
pocket_68,0,1.0000
pocket_69,0,1.0000
pocket_70,0,1.0000
pocket_71,0,1.0000
pocket_72,0,1.0000
pocket_73,0,1.0000
pocket_74,0,1.0000
pocket_75,0,1.0000
pocket_76,0,1.0000
pocket_77,0,1.0000
pocket_78,0,1.0000
pocket_79,0,1.0000
pocket_80,0,1.0000
pocket_81,0,1.0000
pocket_82,0,1.0000
pocket_83,0,1.0000
pocket_84,0,1.0000
pocket_85,0,1.0000
pocket_86,0,1.0000
pocket_87,0,1.0000
pocket_88,0,1.0000
pocket_89,0,1.0000
pocket_90,0,1.0000
pocket_91,0,1.0000
pocket_92,0,1.0000
pocket_93,0,1.0000
pocket_94,0,1.0000
pocket_95,0,1.0000
pocket_96,0,1.0000
pocket_97,0,1.0000
pocket_98,0,1.0000
pocket_99,0,1.0000
pocket_100,0,1.0000
