pocket_name,frames,stability
pocket_0,0,1.0000
pocket_1,0,1.0000
pocket_2,0,1.0000
pocket_3,0,1.0000
pocket_4,0,1.0000
pocket_5,0,1.0000
pocket_6,0,1.0000
pocket_7,0,1.0000
pocket_8,0,1.0000
pocket_9,0,1.0000
pocket_10,0,1.0000
pocket_11,0,1.0000
pocket_12,0,1.0000
pocket_13,0,1.0000
pocket_14,0,1.0000
pocket_15,0,1.0000
pocket_16,0,1.0000
pocket_17,0,1.0000
pocket_18,0,1.0000
pocket_19,0,1.0000
pocket_20,0,1.0000
pocket_21,0,1.0000
pocket_22,0,1.0000
pocket_23,0,1.0000
pocket_24,0,1.0000
pocket_25,0,1.0000
pocket_26,0,1.0000
pocket_27,0,1.0000
pocket_28,0,1.0000
pocket_29,0,1.0000
pocket_30,0,1.0000
pocket_31,0,1.0000
