Rank,ID,SMILES,Score
1,TYD-02600,O=Cc1cccc2c1NCC2,0.8501
2,T0924,CCOC(=O)c1ccc(N)cc1,0.8242
3,T0551,Cl.NCCC[C@@H](N)C(=O)O,0.8208
4,T8071,Cl.NCCCC[C@H](N)C(=O)O,0.8154
5,TMIJ-0380,Cl.[15NH2][13CH2][13CH2][13CH2][13CH2][13C@H]([15NH2])[13C](=O)O,0.8130
6,T23213,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C.[Cl-],0.8027
7,T13752,O=C[C@H](O)[C@@H](O)[C@@H](O)CO,0.7988
8,T20513,NN=c1[nH]c2ccccc2s1,0.7983
9,T9530,Cc1cccc(C)c1NC(=O)CN(C)C,0.7979
10,T16910,O=C1NC(=O)C2(CCOc3ccc(F)cc32)N1,0.7974
11,TN9637,Cc1coc2ccccc12,0.7920
12,Fr16741,O=C1Cc2ccccc2N1,0.7905
13,T4806,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7852
14,T4786,O=C[C@H](O)[C@H](O)[C@H](O)CO,0.7852
15,T9372,N[C@H](Cc1c[nH]cn1)C(=O)O,0.7832
16,T2A2532,N[C@@H](Cc1c[nH]cn1)C(=O)O,0.7832
17,T22214,CN1C(=O)NC(=O)C1(C)C,0.7822
18,T0008,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],0.7812
19,T6308,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2,0.7808
20,T22956,CC(N)c1cccc(Cl)c1Cl.Cl,0.7803
21,TN7156,CC1Cc2cccc(O)c2C(=O)O1,0.7798
22,T23969,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,0.7788
23,T1128,NC(=O)CN1CC(O)CC1=O,0.7783
24,T0439,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7778
25,T66651,NCCCC[C@@H](N)C(=O)O,0.7769
26,TN6848,O=C(O)c1ccc2c(c1)OCO2,0.7769
27,T0954,FC(F)(F)C(Cl)Br,0.7734
28,T21445,c1ccc2c(CC3=NCCN3)cccc2c1,0.7725
29,T0246L,CNCCc1ccccn1.CS(=O)(=O)O.CS(=O)(=O)O,0.7725
30,T86994,CCNc1ccccc1C,0.7725
31,T38311,N[C@H](C(=O)O)c1ccsc1,0.7720
32,T4833,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,0.7710
33,T31433,N#Cc1c(Cl)cccc1Cl,0.7705
34,T205990,CC(C)C1NC(=O)NC1=O,0.7700
35,T5235,COc1ccc2[nH]cc(CC(N)C(=O)O)c2c1,0.7700
36,T20013,NC1(C(=O)O)C2CC3CC(C2)CC1C3,0.7700
37,T0846,C[N+](C)(C)C[C@H](O)CC(=O)[O-],0.7690
38,T9354,O=Cc1ccc(F)cc1F,0.7681
39,TN9727,Cc1cccc(C#N)c1C,0.7676
40,T7716,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,0.7676
41,T207083,COc1cccc(N)c1,0.7671
42,T0737,NCCC[C@H](N)C(=O)O,0.7671
43,T6259,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,0.7666
