Rank,ID,SMILES,Score
1,T207083,COc1cccc(N)c1,0.8887
2,T4863,NC(CCS)C(=O)O,0.8594
3,TN9394,COc1ccc(N)cc1.Cl,0.8589
4,T78617,CC(=O)N[C@@H](CO)C(=O)O,0.8472
5,T19392,N[C@@H](CCS)C(=O)O,0.8457
6,T38311,N[C@H](C(=O)O)c1ccsc1,0.8350
7,T0246L,CNCCc1ccccn1.CS(=O)(=O)O.CS(=O)(=O)O,0.8271
8,T14979,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[Li+],0.8237
9,T77689,N[C@@H]1CCCC[C@H]1N,0.8232
10,T4757,N[C@@H](CCO)C(=O)O,0.8179
11,TN9467,C[C@@H](N)C(N)=O.Cl,0.8140
12,T0316,CC(=O)NC1CCSC1=O,0.8125
13,T65787,N[C@@H](CO)CC(=O)O,0.8096
14,T64344,CNC(CC(=O)O)C(=O)O,0.8022
15,TYD-00299,NC(CCO)C(=O)O,0.8018
16,TN9460,COc1ccc(C)c(N)c1,0.7974
17,TN9401,c1ccc(-c2ccco2)cc1,0.7954
18,T1324,N[C@@H](COP(=O)(O)O)C(=O)O,0.7939
19,T40729,C[C@H](O)[C@@H](N)C(=O)O,0.7930
20,T2792,N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)(O)O,0.7925
21,T6608,CN[C@H](CC(=O)O)C(=O)O,0.7920
22,TN9766,CC1Cc2ccccc2N1,0.7915
23,T7923,Nc1ncccc1O,0.7915
24,T0439,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7915
25,T4806,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7915
26,T5887,O=C1CCc2ccc(O)cc2N1,0.7886
27,T19860,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.7876
28,T3484,N[C@]1(C(=O)O)CC[C@H](C(=O)O)C1,0.7876
29,T5055,CSCC[C@H](NC=O)C(=O)O,0.7866
30,T4844,CSCC[C@H](N)C(=O)O,0.7866
31,T4181,Cc1cc(Br)ccc1NC(=O)CCl,0.7861
32,T65347,COC(=O)[C@H](CS)NC(C)=O,0.7852
33,T1390,CC(C)(CO)C(O)C(=O)NCCCO,0.7852
34,T11165,CC[C@](N)(CCC(=O)O)C(=O)O,0.7847
35,T38155,CC(=O)N[C@H](CS)C(=O)O,0.7847
36,TN9564,CC1NC(=O)NC1=O,0.7832
37,T5076,C[C@H](O)[C@H](N)C(=O)O,0.7832
38,T12270,CC(C)(C[C@H](N)C(=O)O)C(F)F,0.7827
39,T4834,NC(=O)Cc1c[nH]c2ccccc12,0.7822
40,T3167,Cl.NNc1ccc(Cl)cc1,0.7812
41,TN9820,Cc1ncccc1N,0.7812
42,T16901,CCCCc1ccc(NC(C)=O)c(C)c1,0.7808
43,T16816,O=S1(=O)N[C@H]2CCCN2c2ccccc21,0.7808
44,T78044,CC(N)(CC(=O)O)C(=O)O,0.7803
45,T1379,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,0.7803
46,T20513,NN=c1[nH]c2ccccc2s1,0.7798
47,T13669,NC(=O)/C=C/c1ccccc1,0.7798
48,T83984,NC1(C(=O)O)CCC(F)(F)CC1,0.7793
49,T60224,O=S1(=O)N[C@@H]2CCCN2c2ccccc21,0.7788
50,T77673,Cl.NCCc1c[nH]c2c(F)cccc12,0.7773
51,TN7198,N#CCc1c[nH]c2cc(Br)ccc12,0.7764
52,TN9404,CC(O)C(N)C(=O)O,0.7759
53,TYD-02598,NC(Cc1cccnc1)C(=O)O,0.7754
54,T0406,CC(=O)Nc1ccccc1,0.7749
55,TN9579,CCN(CC)CC.O=S(=O)=O,0.7749
56,T4741,O=CNCC(=O)O,0.7749
57,T4088,CC1=CC(=O)C(C(C)C)=CC1=O,0.7744
58,TN9337,Cc1[nH]c2ccccc2c1C,0.7744
59,T23478,Cl.NC(CO)(CO)CO,0.7739
60,T5518,CC(=O)N[C@@H](CS)C(N)=O,0.7725
61,T8363,NC(CO)C(=O)O,0.7715
62,T4705,NC(CCCC(=O)O)C(=O)O,0.7715
63,T4887,CC(CN)C(=O)O,0.7715
64,T65486,Cc1cc(O)c(C)c(C)c1O,0.7715
65,TN1592,NC(Cc1ccccc1)C(=O)O,0.7710
66,T1690,Nc1c(Br)cc(Br)cc1C=O,0.7710
67,T5287,CC(=O)N[C@@H](CC(=O)O)C(=O)O,0.7705
68,T7852,O=C1C(Cl)=CC(=NCl)C=C1Cl,0.7695
69,T65269,N[C@@H](CC(=O)[O-])C(=O)O.[K+],0.7695
70,Fr16741,O=C1Cc2ccccc2N1,0.7690
71,T206032,COc1ccccc1N,0.7690
72,TN9215,Cc1c(O)ccc(O)c1C,0.7690
73,TN9185,CCc1ccc(N)cc1,0.7681
74,T3477,CCC(N)(C(=O)O)c1ccc(C(=O)O)cc1,0.7676
75,T5954,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O.O,0.7676
76,T22956,CC(N)c1cccc(Cl)c1Cl.Cl,0.7676
77,TN9592,COC(=O)C(C)CO,0.7671
78,T6519,CN(C)Cc1c[nH]c2ccccc12,0.7671
79,TN9269,Cc1ncc2c(n1)CSC2,0.7666
80,T7661,NC(=O)c1ccc2[nH]ccc2c1,0.7661
81,T65856,NC(=O)C[C@@H](N)C(=O)O.O,0.7656
82,T34844,Cl.NCCSC[C@H](N)C(=O)O,0.7651
83,T4705L,N[C@@H](CCCC(=O)O)C(=O)O,0.7651
84,T19418L,CSCC[C@@H](N)C(=O)O,0.7651
85,T20366,Cn1cccc1-c1cccnc1,0.7646
86,T1695,NC(Cc1ccccc1O)C(=O)O,0.7642
87,T4497,Nc1ccncc1N,0.7642
88,T20571,O=C(O)[C@H]1CCCN[C@H]1C(=O)O,0.7632
89,TN9268,Cc1cc(C)c2ccccc2n1,0.7627
90,T17321,CC1(C)C(=O)N(Br)C(=O)N1Br,0.7622
91,T1296,Nc1ccc(C(=O)O)c(O)c1,0.7622
