Rank,ID,SMILES,Score
1,T207075,Cc1cc(C(C)C)ccc1O,0.8506
2,TN9596,Cc1cc(C)c(C#N)c(C)c1,0.8359
3,T207097,Cc1cccc2c(C)cccc12,0.8306
4,T3746,COC(=O)c1ccccc1C(=O)OC,0.8306
5,T20242,Cc1cc(O)c(C(C)C)cc1Cl,0.8301
6,T64386,Cc1cc(C)c(C)c(O)c1,0.8228
7,TN9597,N#Cc1nccc2ccccc12,0.8223
8,TN9296,Cc1cc(C)[nH]c(=O)c1,0.8140
9,T5206,Oc1n[nH]c2cc(F)ccc12,0.8130
10,T14955,O=C1NC(CCCl)Oc2ccccc21,0.8125
11,T4S1990,Cc1ccc(C(C)C)cc1O,0.8115
12,Fr16741,O=C1Cc2ccccc2N1,0.8086
13,TN9244,Cc1ccc(C)c2ccccc12,0.8071
14,TN9544,COc1ccc(C)cc1OC,0.8057
15,T67681,Cc1ccc2c(c1)C(=O)NC2=O,0.8018
16,TN9766,CC1Cc2ccccc2N1,0.8013
17,T1396,CCC1(C)CC(=O)NC(=O)C1,0.7983
18,TN11235,COc1cc(C)c(OC)c2c1OCO2,0.7959
19,T7661,NC(=O)c1ccc2[nH]ccc2c1,0.7900
20,T4181,Cc1cc(Br)ccc1NC(=O)CCl,0.7896
21,T3S1960,CCC(=O)c1cc2c(cc1O)OCO2,0.7881
22,T0901,CC(C)(O)C(Cl)(Cl)Cl,0.7861
23,T9354,O=Cc1ccc(F)cc1F,0.7842
24,T205975,ClCC(Br)CBr,0.7793
25,T0662,O=c1[nH]c2ccccc2[nH]1,0.7754
26,TN7192,O=c1[nH]c(=O)c2ccc(Br)cc2[nH]1,0.7715
27,TYD-02849,CC(=O)Oc1ccc(N)c2ccccc12,0.7695
28,T125297,COC(=O)Cc1ccccc1O,0.7690
29,TN9435,Cc1ccc(C#N)c(C)c1,0.7676
30,TYD-02839,Cl.NC(=O)CC1(N)CCC1,0.7666
31,T67858,C=Cc1nc(=O)c2ccccc2[nH]1,0.7666
32,T1299,OCc1cccnc1,0.7666
33,TN9460,COc1ccc(C)c(N)c1,0.7666
34,TYD-00730,Cc1nc(C)c(C)s1,0.7656
35,T19380,COc1c(O)cc(O)cc1O,0.7646
36,T86994,CCNc1ccccc1C,0.7642
37,T4612,O=C1Nc2c(ccc(Cl)c2Cl)C1=NO,0.7632
38,TN9779,COc1cc(C)cc(C)c1,0.7603
39,T16816,O=S1(=O)N[C@H]2CCCN2c2ccccc21,0.7598
40,TN9234,C=C(C)c1ccccc1C,0.7593
41,TN9337,Cc1[nH]c2ccccc2c1C,0.7588
42,T206010,Cc1cccc2sccc12,0.7583
43,TN9548,CCc1ccc2[nH]ccc2c1,0.7578
44,TYD-00220,Cc1cc2ccccc2[nH]1,0.7573
45,T8619,O=c1nc[nH]c2c(Cl)cccc12,0.7573
46,T13669,NC(=O)/C=C/c1ccccc1,0.7568
47,T5601,O=c1[nH]sc2cc(F)ccc12,0.7568
48,T1613,Cl.NNc1nncc2ccccc12,0.7539
49,TN6780,COc1cc(C(C)C)ccc1C,0.7539
50,T207098,Cc1ccc2ccccc2c1C,0.7534
51,T0390,NC(=O)c1ccc([N+](=O)[O-])cc1Cl,0.7524
52,T1358,COc1cccc(Cl)c1Cl,0.7510
53,TN9711,CCc1cc2ccccc2[nH]1,0.7510
54,TN9281,CCn1ccc2ccccc21,0.7500
55,T60224,O=S1(=O)N[C@@H]2CCCN2c2ccccc21,0.7500
56,T31433,N#Cc1c(Cl)cccc1Cl,0.7485
57,T10164,Oc1cc2cc[nH]c2cc1O,0.7485
58,T5554,COc1cc(OC)cc(OC)c1,0.7480
59,T38022,Oc1c(Br)cccc1Br,0.7471
60,T0406,CC(=O)Nc1ccccc1,0.7451
61,TN9302,ClCCc1ccccc1,0.7441
62,T71966,Cc1cccc2c1CCNC2=O,0.7441
63,T22956,CC(N)c1cccc(Cl)c1Cl.Cl,0.7437
64,T38059,O=C(O)COc1ccc2ccccc2c1,0.7437
65,T5887,O=C1CCc2ccc(O)cc2N1,0.7427
66,T12616L,CC1CCc2c(cc(Br)c(F)c2Br)N1C=O,0.7417
67,TN7197,Oc1c(Cl)cc(Br)cc1Br,0.7412
68,T1690,Nc1c(Br)cc(Br)cc1C=O,0.7412
69,T67066,Cc1ccc(C)c(C)c1C,0.7407
70,T5002,COC(=O)CCC(=O)CN.Cl,0.7402
71,T0934,NC(=O)c1cccnc1,0.7402
72,T7473,Brc1ccc2[nH]ccc2c1,0.7402
73,T20314,CN1C(=O)c2ccccc2C1=O,0.7402
74,T5984,O=C(O)c1c[nH]c2ccccc12,0.7397
75,TN9761,COc1cc(C)cc(C)c1C,0.7393
76,TN9749,COc1c(Cl)cc(Cl)c(Cl)c1Cl,0.7378
77,T205990,CC(C)C1NC(=O)NC1=O,0.7373
78,T8677,O=c1oc(Cl)c(Cl)c2ccccc12,0.7363
79,T8020,O=c1[nH]c(=O)c2ccccc2[nH]1,0.7354
80,T1309,CCCc1cc(O)nc(S)n1,0.7354
81,TN9200,O=Cc1cccnc1,0.7354
82,T3676,Oc1ccc2c(c1)OCO2,0.7349
83,T0577,O=c1[nH]c2cc(Cl)ccc2s1,0.7344
84,TN9578,Cc1cccc2cccc(C)c12,0.7339
85,T20373,c1ccc(-n2cccc2)cc1,0.7324
86,T5088,O=C([O-])Cc1c[nH]c2ccccc12.[Na+],0.7319
87,TN9290,Cc1cc(C)c(C)c(C)c1,0.7305
88,T1253,Oc1ccc(Cl)c2c1CCC2,0.7300
89,T203869,CCc1ccc(OC)c(OC)c1,0.7290
90,T29345,CCc1ccc(C)cc1O,0.7290
91,T20926,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0.7285
92,TN6883,O=Cc1cccc2[nH]ccc12,0.7285
93,T8068,Cc1ccccc1C(=O)O,0.7285
