Rank,ID,SMILES,Score
1,T4938,O=S(=O)([O-])Oc1c[nH]c2ccccc12.[K+],0.8286
2,T1080,NCCS,0.8159
3,T0220,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],0.8140
4,T4729,O=C(O)CP(=O)(O)O,0.8125
5,T204077,O=P(O)(O)CCP(=O)(O)O,0.8115
6,T9289,O.O.O.O.O.O.O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],0.8032
7,T66911,COc1cccc(OC)c1,0.7812
8,T19415,O=P(O)(O)CP(=O)(O)O,0.7759
9,T19857,O=C(O)CNCP(=O)(O)O,0.7744
10,T5064,O.O.O=C(O)C(=O)O,0.7720
11,T20513,NN=c1[nH]c2ccccc2s1,0.7681
12,T7048,O=C1C=CC(=O)c2ccccc21,0.7676
13,T2O2728,NCC(=O)O,0.7651
14,T35367,CC(N)=S,0.7637
15,T0439,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7622
16,T7694,N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O,0.7607
17,T4806,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7544
18,T7716,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,0.7505
19,TN9673,Cc1nc[nH]c1C,0.7500
20,T0781,OCC(S)CS,0.7471
21,T80672,Oc1ccc(O)c2ccccc12,0.7446
22,TN7187,Oc1cc(O)c(Br)c(O)c1Br,0.7432
23,T10933,N[C@H](CS)C(=O)O,0.7432
24,T38155,CC(=O)N[C@H](CS)C(=O)O,0.7407
25,T22215,O=P([O-])([O-])Oc1cccc2ccccc12.[K+].[K+],0.7402
26,T5671,CC1=CC(=O)CC(C)(C)C1,0.7397
27,TN9467,C[C@@H](N)C(N)=O.Cl,0.7388
28,T65347,COC(=O)[C@H](CS)NC(C)=O,0.7383
29,T9290,O=C1OC(=O)c2c(O)cccc21,0.7373
30,T27792,C[C@H](N)CO,0.7368
31,T8262,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Na+].[Na+],0.7339
32,T5202,c1c[nH]cn1,0.7334
33,T20224,O[C@@H](CS)[C@@H](O)CS,0.7329
34,T40731,COc1cccc(OC)c1OC,0.7305
35,T4835,Nc1ccccc1S(=O)(=O)O,0.7305
36,TN9568,Cc1c(O)cccc1O,0.7295
37,T5370,O[C@H](CS)[C@H](O)CS,0.7290
38,TYD-02598,NC(Cc1cccnc1)C(=O)O,0.7290
39,TN9224,COc1c(C)cccc1C,0.7285
40,T67294,O=C(O)C1Cc2c([nH]c3ccccc23)CN1,0.7280
41,T207057,Cc1ccc(C)c([N+](=O)[O-])c1O,0.7271
42,T40607,Cc1cc(C)c(O)c(C)c1,0.7271
43,TN7171,Oc1c(Br)c(O)c(Br)c(O)c1Br,0.7266
44,T19393,Cl.N[C@H]1CCSC1=O,0.7261
45,T38311,N[C@H](C(=O)O)c1ccsc1,0.7246
