Rank,ID,SMILES,Score
1,T0924,CCOC(=O)c1ccc(N)cc1,0.8584
2,T5367,COc1ccc(O)c(C(C)(C)C)c1,0.8569
3,T1380,ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.8569
4,TN8469,CC(C)C1=CC(=O)[C@]2(C)O[C@@]1(O)[C@@H]1[C@H](C)CC[C@@H]12,0.8521
5,T6402,O=[N+]([O-])c1ncc[nH]1,0.8486
6,T5364,CC(C)(C)c1cc(O)ccc1O,0.8438
7,T3234,CC1(C)CCC[C@@]2(C)OC(=O)C=C12,0.8369
8,T5709,CC1=C2C[C@H]3CC[C@@H](C)[C@]2(CC1=O)C3(C)C,0.8237
9,TN6777,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@]23[C@H]1CC[C@@]1(C)O[C@@H]31,0.8198
10,T3S1447,C=C1C(=O)O[C@@]23[C@H]1CC[C@@H](C)[C@@H]2CC[C@@]1(C)O[C@@H]31,0.8081
11,TN9467,C[C@@H](N)C(N)=O.Cl,0.8076
12,T203969,CC1CCC(C(C)C)C(OCC(O)CO)C1,0.7964
13,TN9755,OCCC(O)CO,0.7930
14,T207053,Nc1ccccc1,0.7925
15,T4959,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.7856
16,T5628,CC(C)(c1ccccc1)c1ccc(O)cc1,0.7852
17,TQ0190,O=C(CO)[C@@H](O)[C@H](O)CO,0.7852
18,T5594,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,0.7847
19,T4823,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,0.7837
20,T37987,O=C(CO)[C@H](O)[C@H](O)CO,0.7827
21,T0763,CC(O)CC(C)(C)O,0.7822
22,T7873,CSCCCN=C=S,0.7783
23,T0392,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,0.7769
24,T8279,CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0.7734
25,TN9495,CC(=O)OC1CC2CCC1(C)C2(C)C,0.7734
26,T27792,C[C@H](N)CO,0.7729
27,TN9269,Cc1ncc2c(n1)CSC2,0.7710
28,T3675,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,0.7710
29,T9760,CC(=O)c1ccc(N2CCOCC2)cc1O,0.7695
30,T19719,COc1ccc(O)cc1C(C)(C)C,0.7651
31,T6S1740,C[C@@H]1CCC=C2C(=O)C[C@H]3OOC(C)(C)[C@H]3[C@]21C,0.7627
32,TN1448,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,0.7617
33,T9600,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.7612
34,T35749,Cc1cc(O)c(C(C)C)cc1O,0.7603
35,T33315L,CN(C)CCN(Cc1cccs1)c1ccccc1.Cl,0.7593
36,T77689,N[C@@H]1CCCC[C@H]1N,0.7578
37,T21344,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,0.7578
38,T4894,OC[C@H](O)C(O)[C@@H](O)CO,0.7573
39,T8283,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C)C2(C)C,0.7568
40,T0961,NC(CO)(CO)CO,0.7554
41,TN9454,COc1cccc(C)c1O,0.7554
42,TWS1229,C[C@@H]1CCCC2=CC(=O)[C@@H]3[C@@H](C3(C)C)[C@]21C,0.7534
43,TN2279,CC(C)c1c(O)ccc2c1CC[C@H]1C(C)(C)CCC[C@]21C,0.7529
44,T6259,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,0.7529
45,T6S0071,CC1=C2C(=O)O[C@@H](c3ccoc3)[C@]2(C)CCC1,0.7524
46,T36528,CC1=C2C(=CC(C)(C)[C@@H]2O)C(=O)[C@](C)(O)C12CC2,0.7524
47,T203863,CC1=CC2OC(=O)C(C)C2CC1,0.7505
48,T0607,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.7500
49,T0332,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.7495
50,T36735,CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,0.7495
51,T8213,C=C[C@@]1(C)Cc2occ(C)c2[C@@H]2OC(=O)C(=C)[C@@H]21,0.7485
52,T50053,Cc1nc[nH]c1-c1ccc(Cl)cc1,0.7480
53,T3718,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O,0.7456
54,T7059,C[C@H]1[C@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.7451
55,TMM2618,C=C1C[C@]23CC1CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0.7446
56,T19736,ClCCN(CCCl)c1ccccc1,0.7441
57,T89069,OCC[C@H](O)CO,0.7441
58,TN1568,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32O4,0.7432
59,T28089,CC(C)(C)C(=O)NCc1ccc(Cl)c(C(=O)Nc2ncc[nH]2)c1,0.7432
60,T5757,COC(=O)C1=CO[C@@H](O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,0.7417
61,TN5400,CC1=CC(=O)C(=C(C)C)C[C@@H]2[C@@](C)(O)CC[C@]12O,0.7412
62,T9340,c1ccc(C2=NCCc3ccccc32)cc1,0.7393
63,TN9648,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O,0.7393
64,T86994,CCNc1ccccc1C,0.7378
65,T77346,Nc1nc2ccc(O)cc2s1,0.7368
66,T25248,CN(C)CCCN1c2ccccc2CCc2ccc(C#N)cc21,0.7363
67,TN9424,[Cu][S][Cu],0.7363
68,T206042,Nc1ccc(-c2ccccc2)cc1,0.7349
69,T0991,CNCCCN1c2ccccc2CCc2ccccc21.Cl,0.7329
70,TN9224,COc1c(C)cccc1C,0.7329
71,TN9571,CC(=O)OC(C)(C)Cc1ccccc1,0.7324
72,T7921,CC1=C(C=O)C(C)(C)CCC1,0.7324
73,T17212,O[C@H]([C@H](O)[C@@H]1CO1)[C@H]1CO1,0.7319
74,T23046,CC(C)(C)[N+]([O-])=Cc1ccccc1,0.7319
75,TNU0839,OC[C@H]1SC[C@H](O)[C@@H]1O,0.7300
76,T50052,CC(N)(Cc1ccccc1)c1ccccc1,0.7295
77,T0589,OC[C@@H](O)[C@H](O)[C@@H](O)CO,0.7251
78,T0315,CC(=O)Nc1ccc(C(=O)O)cc1,0.7236
79,T3669,CC1=C[C@@]2(O)O[C@@]3(CC2=C(C)C)[C@@H](C)CC[C@@H]13,0.7212
80,T77581,CNC(=S)NNC(=O)c1cccs1,0.7212
81,T8252,CC(C)=CC1C(CO)C1(C)C,0.7212
82,T67870,NNC(=S)N/N=C/c1ccccc1,0.7207
83,T2955,C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0.7197
84,TN9310,Cc1cccc(C(C)C)c1N,0.7197
85,T72250,CC1=COC(=O)[C@H]2[C@@H]1CC[C@@H]2C,0.7197
86,T2976,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0.7192
87,T2903,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,0.7192
88,T1423,Cc1cccc(C(=O)O)c1O,0.7188
89,T1547,COC(=O)[C@@H](N)CS.Cl,0.7168
90,TN9593,CNc1ccc(N)cc1,0.7153
91,T19071,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,0.7129
92,T5623,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.7129
93,TN6742,C/C=C/C(=O)C1=C(C)CCCC1(C)C,0.7109
94,T0935,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.7100
95,T84010,CCCC(CCC)C(=O)OC,0.7095
96,TYD-02841,CC(C)Cc1cccc(N)c1,0.7095
97,T1705,NC(=O)c1[nH]cnc1N,0.7095
98,T40731,COc1cccc(OC)c1OC,0.7090
99,T21428,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0.7085
100,T23172,CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12,0.7080
101,T3766,O[C@@H]1[C@@H](O)[C@H](O)C[C@@H](O)[C@H]1O,0.7080
102,TYD-00713,Nc1ccc2[nH]ccc2c1,0.7075
103,T20025,CN(C)CCCN1c2ccccc2CCc2ccccc21,0.7075
104,T37066,N#CC(C#N)=Cc1cc2c3c(c1)CCCN3CCC2,0.7065
105,TN2423,CC1=C(C=O)C(C)(C)CC=C1,0.7061
106,TN1538,C=C[C@@]1(C)Cc2occ(C)c2C(=O)[C@@H]1C(=C)C,0.7061
107,T12441,NNCCc1ccccc1.O=S(=O)(O)O,0.7051
108,T206032,COc1ccccc1N,0.7046
109,T0583,OC[C@@H](O)[C@@H](O)CO,0.7031
