Rank,ID,SMILES,Score
1,T20371,CCC(=O)c1ccccc1O,0.8691
2,TN9217,COc1ccc(OC)c(C=O)c1,0.8188
3,TYD-00519,COc1cc(C=O)cc(OC)c1,0.8086
4,TN7198,N#CCc1c[nH]c2cc(Br)ccc12,0.8022
5,T8736,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1.O.O,0.8022
6,T14955,O=C1NC(CCCl)Oc2ccccc21,0.7881
7,T50052,CC(N)(Cc1ccccc1)c1ccccc1,0.7876
8,T3S1960,CCC(=O)c1cc2c(cc1O)OCO2,0.7812
9,TN9546,Cc1csc(C(C)C)n1,0.7778
10,T22458,Brc1ccc2c(c1)NCCC2,0.7739
11,TN9788,COc1ccccc1CC(C)=O,0.7725
12,T20456,N#CCCCCCl,0.7686
13,T6519,CN(C)Cc1c[nH]c2ccccc12,0.7676
14,T38060,COc1cccc(C=O)c1,0.7603
15,T4876,OCCc1c[nH]c2ccccc12,0.7568
16,T37637,COC(CC(C)=O)OC,0.7554
17,T7540,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,0.7549
18,T72662,CCN(CCN)Cc1cccc(Br)c1.Cl.Cl,0.7529
19,T0528,COc1ccc(F)cc1,0.7529
20,TN9477,Cl.NC1c2ccccc2-c2ccccc21,0.7524
21,T5426,COC1=C(OC)C(=O)c2ccccc2C1=O,0.7480
22,Fr14298,CC(=O)c1ccc(C)cc1O,0.7476
23,T6244,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,0.7451
24,T2729,COc1cc2ccc(=O)oc2cc1OC,0.7446
25,TN9368,O=Cc1ccc2c(c1)CCC2,0.7441
26,T8584,O=C1C[C@H](c2ccccc2)NC(=O)N1,0.7417
27,TN9303,Cc1cc2ccccc2n1C,0.7417
28,T67681,Cc1ccc2c(c1)C(=O)NC2=O,0.7407
29,T6259,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,0.7402
30,TN9269,Cc1ncc2c(n1)CSC2,0.7393
31,TN7087,COC1=CC(=O)C(OC)=CC1=O,0.7368
32,T206032,COc1ccccc1N,0.7363
33,T2852,COc1cc(OC)c2ccc(=O)oc2c1,0.7310
34,T7910,COc1ccc(C=O)cc1,0.7305
