Rank,ID,SMILES,Score
1,T0528,COc1ccc(F)cc1,0.8667
2,TN9394,COc1ccc(N)cc1.Cl,0.8564
3,T16712,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS,0.8530
4,T19736,ClCCN(CCCl)c1ccccc1,0.8525
5,TYD-00220,Cc1cc2ccccc2[nH]1,0.8433
6,TN9269,Cc1ncc2c(n1)CSC2,0.8262
7,T5287,CC(=O)N[C@@H](CC(=O)O)C(=O)O,0.8257
8,T4863,NC(CCS)C(=O)O,0.8242
9,T19392,N[C@@H](CCS)C(=O)O,0.8159
10,T206032,COc1ccccc1N,0.8149
11,TMS0719,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,0.8145
12,T207083,COc1cccc(N)c1,0.8125
13,T35903,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.8125
14,T5729,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,0.8125
15,TN9711,CCc1cc2ccccc2[nH]1,0.8115
16,TN9705,COc1ccc2ccccc2n1,0.8110
17,T19422,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.8105
18,T3823,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,0.8101
19,T22458,Brc1ccc2c(c1)NCCC2,0.8081
20,T22365,COC1OC(CO)C(O)C(O)C1O,0.8066
21,TYD-02831,Cc1c(F)cc(N)cc1F,0.8062
22,T65347,COC(=O)[C@H](CS)NC(C)=O,0.8022
23,TN1927,CCC(=O)c1cc2c(cc1OC)OCO2,0.8022
24,T4864,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.8008
25,TN9401,c1ccc(-c2ccco2)cc1,0.7993
26,T50053,Cc1nc[nH]c1-c1ccc(Cl)cc1,0.7979
27,T38155,CC(=O)N[C@H](CS)C(=O)O,0.7969
28,T206010,Cc1cccc2sccc12,0.7954
29,TN9454,COc1cccc(C)c1O,0.7954
30,TN6747,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,0.7920
31,TYD-02844,Nc1ccc(F)c(O)c1,0.7896
32,T2S0300,O=C1CCc2ccccc2O1,0.7886
33,T19092,CC(C)(CC(=O)O)C(=O)O,0.7881
34,TN9460,COc1ccc(C)c(N)c1,0.7861
35,T8059,CSCC[C@H](NC(C)=O)C(=O)O,0.7856
36,T0316,CC(=O)NC1CCSC1=O,0.7832
