Rank,ID,SMILES,Score
1,TN9302,ClCCc1ccccc1,0.8066
2,TN9761,COc1cc(C)cc(C)c1C,0.8047
3,TN7242,COc1cc(C=O)cc(O)c1O,0.7905
4,TN9267,CCc1cccc(C)c1,0.7876
5,T7972,O=Cc1cc(O)c(O)c(O)c1,0.7822
6,TN9290,Cc1cc(C)c(C)c(C)c1,0.7822
7,T1358,COc1cccc(Cl)c1Cl,0.7817
8,T206038,c1ccc2c(c1)CCc1ccccc1-2,0.7793
9,TN9733,CCc1ccc(C)c(C)c1,0.7695
10,T29345,CCc1ccc(C)cc1O,0.7690
11,TN9292,CC(C)(C)Cc1ccccc1,0.7686
12,T0544,ClC(Cl)(c1ccccc1)c1ccccc1,0.7676
13,T67066,Cc1ccc(C)c(C)c1C,0.7651
14,T16712,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS,0.7598
15,TN9390,CCc1ccc(C)cc1,0.7583
16,T65347,COC(=O)[C@H](CS)NC(C)=O,0.7573
17,TN9395,CCc1cccc2ccccc12,0.7466
18,TN9661,CCC(C)c1ccccc1O,0.7432
19,TN9233,CCC(C)(C)c1ccccc1,0.7378
20,T21278,COc1cccc(C)c1,0.7378
21,T20326,COc1ccccc1OC,0.7334
22,T9372,N[C@H](Cc1c[nH]cn1)C(=O)O,0.7329
23,T2A2532,N[C@@H](Cc1c[nH]cn1)C(=O)O,0.7329
24,T65088,Cl.N[C@H](CC(=O)O)Cc1ccccc1,0.7329
25,TN9779,COc1cc(C)cc(C)c1,0.7324
26,T4292,O=C(O)[C@@H]1CSCN1,0.7319
27,T7427,C#Cc1cccc2ccccc12,0.7314
28,TN9691,COc1c(Cl)cc(Cl)cc1Cl,0.7314
29,T3018,O=Cc1ccc(O)c(O)c1,0.7305
30,TN6780,COc1cc(C(C)C)ccc1C,0.7300
31,TN9377,CCc1ccc2ccccc2c1,0.7290
32,T1547,COC(=O)[C@@H](N)CS.Cl,0.7280
33,TN9688,CC(C)c1cccc2ccccc12,0.7266
34,T6244,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,0.7251
35,TN9244,Cc1ccc(C)c2ccccc12,0.7236
36,TN9725,CC1=Cc2ccccc2C1,0.7192
37,TN9674,CCc1ccccc1C#N,0.7173
38,T20472,C=CCc1ccccc1O,0.7168
39,T8584,O=C1C[C@H](c2ccccc2)NC(=O)N1,0.7158
40,T20242,Cc1cc(O)c(C(C)C)cc1Cl,0.7158
41,T19916,FC(F)(F)c1ccccc1-n1ccnc1,0.7153
42,T4S1990,Cc1ccc(C(C)C)cc1O,0.7153
43,TN9637,Cc1coc2ccccc12,0.7148
44,TN9234,C=C(C)c1ccccc1C,0.7124
45,T5518,CC(=O)N[C@@H](CS)C(N)=O,0.7119
46,T205975,ClCC(Br)CBr,0.7095
47,TN9749,COc1c(Cl)cc(Cl)c(Cl)c1Cl,0.7080
48,TMO2752,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,0.7080
49,TYD-02841,CC(C)Cc1cccc(N)c1,0.7080
50,T86994,CCNc1ccccc1C,0.7080
51,T0954,FC(F)(F)C(Cl)Br,0.7031
52,TN9709,Cc1ccc2cccc(C)c2n1,0.7007
53,TN9682,CC(C)c1ccc2ccccc2c1,0.7002
54,T40728,ClCCCCCCBr,0.6992
55,TN9656,CCc1cccc(CC)c1O,0.6982
56,T10933,N[C@H](CS)C(=O)O,0.6982
57,T20513,NN=c1[nH]c2ccccc2s1,0.6968
58,T20926,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0.6953
59,T24074,CC(C)c1cccc(C(C)C)c1F,0.6948
60,TYD-02598,NC(Cc1cccnc1)C(=O)O,0.6938
61,T0221,O=C(O)C1CSCN1,0.6890
62,T67384,CCc1cccc(C)c1O,0.6890
63,T2O2721,N[C@@H](CS)C(=O)O,0.6875
64,T88412,c1ccc(Nc2cccc3ccccc23)cc1,0.6870
65,T60268,O=c1cc(Cc2ccccc2)[nH]c(=S)[nH]1,0.6870
66,TN9354,Cc1ccc(C)c(O)c1C,0.6860
67,T64386,Cc1cc(C)c(C)c(O)c1,0.6860
68,T19651,FC(F)OC(Cl)C(F)(F)F,0.6855
69,T21252,COc1ccc(C=O)c(O)c1O,0.6855
70,T206016,CCn1cnc2ccccc21,0.6851
71,TN9261,CC(C)c1ccc(C(C)C)cc1,0.6846
72,T3747,COc1cc(C=O)cc(OC)c1O,0.6841
73,T5965,CCN(CC)C(=S)[S-].[Na+],0.6841
74,TN6875,CC(C)(C)c1cccc(C(C)(C)C)c1,0.6836
75,TN9324,CC#Cc1ccccc1,0.6812
76,T21115,O=C(O)[C@H]1CSCN1,0.6812
77,TN9548,CCc1ccc2[nH]ccc2c1,0.6797
78,T1690,Nc1c(Br)cc(Br)cc1C=O,0.6792
79,TYD-02636,Cc1ccc2c(c1)CCCC2,0.6772
80,T40731,COc1cccc(OC)c1OC,0.6763
81,TN9735,CCc1ccccc1C,0.6753
82,TN9534,Cc1cccc(-c2ccccc2)c1,0.6748
83,T10133,Cc1cn([C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])[C@H]2O)c(=O)nc1N,0.6748
84,T18161,COCCOCCBr,0.6733
85,T38240,Clc1cccc(Cl)c1Nc1ccccc1,0.6724
86,TD1004,Nc1ccc([N+](=O)[O-])cc1Cl,0.6694
87,TYD-02635,Cc1cccc2c1CCCC2,0.6675
88,T25529,CC(C)(C)NC(=S)N/N=C/c1ccc(O)cc1O,0.6660
89,T4831,CC(C)(N)C(=O)O,0.6650
90,T3957,O=C(c1ccc2nonc2c1)N1CCCCC1,0.6646
91,T80672,Oc1ccc(O)c2ccccc12,0.6641
92,TN9247,CCCC1CCCCC1,0.6636
93,TN6822,COc1cc(C)cc(OC)c1,0.6636
94,T77288,S=C1NC(c2ccccc2)=CC(c2ccccc2)N1,0.6626
95,T19753,CCOc1ccccc1,0.6616
96,T203141,COc1ncc(CO)c(N)n1,0.6611
