Rank,ID,SMILES,Score
1,T65088,Cl.N[C@H](CC(=O)O)Cc1ccccc1,0.7568
2,TN9761,COc1cc(C)cc(C)c1C,0.7554
3,T1358,COc1cccc(Cl)c1Cl,0.7480
4,TN1592,NC(Cc1ccccc1)C(=O)O,0.7354
5,TYD-02598,NC(Cc1cccnc1)C(=O)O,0.7344
6,TN9302,ClCCc1ccccc1,0.7334
7,TJS0856,COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,0.7266
8,T0491,CCOc1cc(C=O)ccc1O,0.7227
9,T7335,NC[C@H](N)C(=O)O,0.7207
10,TN7242,COc1cc(C=O)cc(O)c1O,0.7192
11,TN9267,CCc1cccc(C)c1,0.7178
12,T206038,c1ccc2c(c1)CCc1ccccc1-2,0.7173
13,T40376,[15NH2][C@@H](Cc1ccccc1)C(=O)O,0.7168
14,T0689,N[C@H](Cc1ccccc1)C(=O)O,0.7168
15,TN9691,COc1c(Cl)cc(Cl)cc1Cl,0.7148
16,T206016,CCn1cnc2ccccc21,0.7144
17,TN9233,CCC(C)(C)c1ccccc1,0.7139
18,TN9749,COc1c(Cl)cc(Cl)c(Cl)c1Cl,0.7124
19,T9838,NC(Cc1ccccc1Cl)C(=O)O,0.7100
20,T1664,CC(O)(CC(=O)O)CC(=O)O,0.7100
21,TN9661,CCC(C)c1ccccc1O,0.7080
22,T2772,C=CCSC[C@H](N)C(=O)O,0.7080
23,T24074,CC(C)c1cccc(C(C)C)c1F,0.7065
24,T20242,Cc1cc(O)c(C(C)C)cc1Cl,0.7056
25,T4088,CC1=CC(=O)C(C(C)C)=CC1=O,0.7046
26,T1695,NC(Cc1ccccc1O)C(=O)O,0.7031
27,TN6937,CC(C)C(O)(CC(=O)O)C(=O)O,0.7017
28,T0544,ClC(Cl)(c1ccccc1)c1ccccc1,0.7002
29,T38311,N[C@H](C(=O)O)c1ccsc1,0.6992
30,T21327,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,0.6978
31,T3377,N[C@@H](Cc1ccccc1)C(=O)O,0.6963
32,T16801,NC(C(=O)O)c1nn[nH]n1,0.6963
33,TN9290,Cc1cc(C)c(C)c(C)c1,0.6963
34,TN9709,Cc1ccc2cccc(C)c2n1,0.6963
35,T86994,CCNc1ccccc1C,0.6963
36,T3018,O=Cc1ccc(O)c(O)c1,0.6953
37,T29345,CCc1ccc(C)cc1O,0.6953
38,T3747,COc1cc(C=O)cc(OC)c1O,0.6943
39,T19860,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.6890
40,TN9648,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O,0.6870
41,T32116,O=C1CC(C(=O)O)NC(=O)N1,0.6865
42,TN6780,COc1cc(C(C)C)ccc1C,0.6860
43,TN9733,CCc1ccc(C)c(C)c1,0.6860
44,T4880,O=C1C[C@@H](C(=O)O)NC(=O)N1,0.6855
45,T2O2728,NCC(=O)O,0.6855
46,T16910,O=C1NC(=O)C2(CCOc3ccc(F)cc32)N1,0.6851
47,T1589,N[C@@H]1CONC1=O,0.6846
48,T0710,N[C@H]1CONC1=O,0.6846
49,T88412,c1ccc(Nc2cccc3ccccc23)cc1,0.6846
50,TN9268,Cc1cc(C)c2ccccc2n1,0.6846
51,T38241,Nc1ncc[nH]1,0.6846
52,T8072,CSC[C@H](N)C(=O)O,0.6836
53,T5S0636,O=C(O)CC(O)(CC(=O)O)C(=O)O,0.6831
54,T67066,Cc1ccc(C)c(C)c1C,0.6812
55,TN9656,CCc1cccc(CC)c1O,0.6807
56,T22458,Brc1ccc2c(c1)NCCC2,0.6802
57,T66911,COc1cccc(OC)c1,0.6797
58,TN9292,CC(C)(C)Cc1ccccc1,0.6782
59,T64923,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],0.6782
60,T0439,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.6777
61,T4844,CSCC[C@H](N)C(=O)O,0.6777
62,T67384,CCc1cccc(C)c1O,0.6772
63,T4948,CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+],0.6753
64,T4806,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0.6743
65,T14979,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[Li+],0.6743
66,T8589,CC[C@H](N)c1ccc(N(C)C)cc1C,0.6724
67,T20326,COc1ccccc1OC,0.6719
68,T40731,COc1cccc(OC)c1OC,0.6704
69,T68135L1,CON=C(C#N)C1CN2CCC1CC2,0.6699
70,T8612,CSc1nccn1C,0.6699
71,T5669,O.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.6694
72,T10389L,CC(=O)O.C[C@@H]1NC(=O)[C@H](CC(=O)O)NC1=O,0.6685
73,TN9429,[Li+].[O-]c1cccc2cccnc12,0.6680
74,T39686,COc1cccc2ccccc12,0.6680
75,T11589,O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],0.6680
76,T20128,CCSCC[C@H](N)C(=O)O,0.6670
77,T4S1990,Cc1ccc(C(C)C)cc1O,0.6665
78,T83984,NC1(C(=O)O)CCC(F)(F)CC1,0.6655
79,TN6875,CC(C)(C)c1cccc(C(C)(C)C)c1,0.6641
80,T9899,CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](C)O[C@H]1n1cc(F)c(N)nc1=O,0.6636
81,TN9779,COc1cc(C)cc(C)c1,0.6636
82,T13576,N#CC[C@H](N)C(=O)O,0.6636
83,TQ0024,O=C(O)CC(O)CC(=O)O,0.6631
84,T1897,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,0.6621
85,T1598,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,0.6621
86,T35749,Cc1cc(O)c(C(C)C)cc1O,0.6616
87,T8584,O=C1C[C@H](c2ccccc2)NC(=O)N1,0.6616
88,TNU0130,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=S,0.6616
89,T71850,CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1ccc(=O)[nH]c1=O,0.6606
90,T203988,CC(C)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.6602
91,T4755,Cl.NCC(N)C(=O)O,0.6597
92,T5954,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O.O,0.6592
93,T4238,N=C(N)NCC(=O)O,0.6592
94,T7972,O=Cc1cc(O)c(O)c(O)c1,0.6577
95,T41093,Nc1ccc(C[C@H](N)C(=O)O)cc1,0.6577
96,T1199,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0.6572
97,T19214,NC(=O)c1nc[nH]c1O,0.6572
98,TN9688,CC(C)c1cccc2ccccc12,0.6567
99,T12270,CC(C)(C[C@H](N)C(=O)O)C(F)F,0.6567
100,T20856,COc1c(Cl)ccc(Cl)c1C(=O)O,0.6562
101,TN9244,Cc1ccc(C)c2ccccc12,0.6562
102,TN9467,C[C@@H](N)C(N)=O.Cl,0.6558
103,T4272,Oc1ccnc2ccccc12,0.6553
