Rank,ID,SMILES,Score
1,TN9761,COc1cc(C)cc(C)c1C,0.8730
2,TN9290,Cc1cc(C)c(C)c(C)c1,0.8579
3,TN9292,CC(C)(C)Cc1ccccc1,0.8516
4,TN9733,CCc1ccc(C)c(C)c1,0.8491
5,TN9267,CCc1cccc(C)c1,0.8403
6,TN9390,CCc1ccc(C)cc1,0.8374
7,T29345,CCc1ccc(C)cc1O,0.8330
8,T8072,CSC[C@H](N)C(=O)O,0.8208
9,TN9302,ClCCc1ccccc1,0.8184
10,T4705,NC(CCCC(=O)O)C(=O)O,0.8174
11,T3746,COC(=O)c1ccccc1C(=O)OC,0.8130
12,T67066,Cc1ccc(C)c(C)c1C,0.8125
13,T18161,COCCOCCBr,0.8096
14,T1358,COc1cccc(Cl)c1Cl,0.8086
15,T10933,N[C@H](CS)C(=O)O,0.8076
16,T3484,N[C@]1(C(=O)O)CC[C@H](C(=O)O)C1,0.8047
17,TN9233,CCC(C)(C)c1ccccc1,0.8003
18,T73900,C=CCS(=O)C[C@H](N)C(=O)O,0.7993
19,T38155,CC(=O)N[C@H](CS)C(=O)O,0.7979
20,TN9244,Cc1ccc(C)c2ccccc12,0.7979
21,T4844,CSCC[C@H](N)C(=O)O,0.7964
22,T83984,NC1(C(=O)O)CCC(F)(F)CC1,0.7959
23,T21278,COc1cccc(C)c1,0.7959
24,TN9324,CC#Cc1ccccc1,0.7949
25,T20326,COc1ccccc1OC,0.7939
26,T4705L,N[C@@H](CCCC(=O)O)C(=O)O,0.7935
27,T19392,N[C@@H](CCS)C(=O)O,0.7920
28,T8141,Cl.NC(CS)C(=O)O,0.7915
29,T2O2721,N[C@@H](CS)C(=O)O,0.7905
30,T0544,ClC(Cl)(c1ccccc1)c1ccccc1,0.7900
31,T7427,C#Cc1cccc2ccccc12,0.7891
32,TN9725,CC1=Cc2ccccc2C1,0.7891
33,TN9688,CC(C)c1cccc2ccccc12,0.7891
34,T65347,COC(=O)[C@H](CS)NC(C)=O,0.7881
35,T1664,CC(O)(CC(=O)O)CC(=O)O,0.7856
36,T64386,Cc1cc(C)c(C)c(O)c1,0.7856
37,TN9779,COc1cc(C)cc(C)c1,0.7847
38,T8095,CC(=O)OC[C@H](N)C(=O)O,0.7832
39,T37190,C=CC[C@H](N)C(=O)O,0.7827
40,T2772,C=CCSC[C@H](N)C(=O)O,0.7808
