Rank,ID,SMILES,Score
1,TN9725,CC1=Cc2ccccc2C1,0.8857
2,TN9292,CC(C)(C)Cc1ccccc1,0.8799
3,T21170,CCc1cccc(O)c1,0.8638
4,T0857,CCCCC(O)c1ccccc1,0.8638
5,TN9390,CCc1ccc(C)cc1,0.8438
6,T20366,Cn1cccc1-c1cccnc1,0.8423
7,TYD-02618,CCCC[C@@H](C)O,0.8413
8,TYD-02620,CCCC[C@H](C)O,0.8413
9,T20472,C=CCc1ccccc1O,0.8398
10,TYD-02636,Cc1ccc2c(c1)CCCC2,0.8394
11,TN9247,CCCC1CCCCC1,0.8350
12,TN9330,C1=Cc2ccccc2CC1,0.8350
13,T5203,O=C([O-])C(O)C(O)C(=O)[O-].[Na+].[Na+],0.8340
14,T7427,C#Cc1cccc2ccccc12,0.8311
15,TN7189,Brc1cc(Br)c2cc[nH]c2c1,0.8271
16,TN9267,CCc1cccc(C)c1,0.8271
17,T2S0850,O=C(O)CC(O)C(=O)O,0.8267
18,TN9733,CCc1ccc(C)c(C)c1,0.8257
19,T19999,O[C@H]1CCCc2ccccc21,0.8257
20,TYD-02622,CCCC(O)CCC,0.8232
21,T65128,O.O.O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-].[Na+].[Na+],0.8213
22,T50053,Cc1nc[nH]c1-c1ccc(Cl)cc1,0.8193
23,TN9302,ClCCc1ccccc1,0.8179
24,TN9794,CCCCCc1ccccc1,0.8164
25,T83984,NC1(C(=O)O)CCC(F)(F)CC1,0.8164
26,TN9395,CCc1cccc2ccccc12,0.8159
27,T200296,O.O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],0.8159
28,T207083,COc1cccc(N)c1,0.8154
29,T20113,O=C(O)C[C@@H](O)C(=O)O,0.8154
30,TN9443,O.O.O.O=C([O-])CCC(=O)[O-].[K+].[K+],0.8140
31,TN8293,C=CCc1ccc(O)cc1,0.8130
32,TN9377,CCc1ccc2ccccc2c1,0.8110
33,T19281,O=C(CO)COP(=O)(O)O,0.8105
34,T4799,c1ccc2[nH]ccc2c1,0.8105
35,T0569,O=C(O)c1cnccn1,0.8101
36,T77703,Cc1c[nH]c(C)c1,0.8096
37,TN7202,Clc1c[nH]c2cc(Br)ccc12,0.8091
38,T40728,ClCCCCCCBr,0.8086
39,TN9820,Cc1ncccc1N,0.8076
40,T22013,Nc1nc2ncnc(N)c2[nH]1,0.8071
41,TN9513,CCCc1cccc(O)c1,0.8066
42,TN1593,O=C(O)C1CCCN1,0.8066
43,T4898,C=C(OP(=O)([O-])O)C(=O)O.[K+],0.8052
44,T1598,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,0.8047
45,T5062,O.O=C(O)[C@@H](O)[C@@H](O)C(=O)O,0.8032
46,TN9290,Cc1cc(C)c(C)c(C)c1,0.8027
47,T19860,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.8022
48,T4838,O=C(O)C[C@H](O)C(=O)O,0.8013
49,TN9244,Cc1ccc(C)c2ccccc12,0.8003
50,T5883,CCc1ccc(O)cc1,0.8003
51,T86994,CCNc1ccccc1C,0.8003
52,TN9401,c1ccc(-c2ccco2)cc1,0.7979
53,T203976,CCCC(O)CC,0.7979
54,T1342,O=C(CCCl)c1ccccc1,0.7974
55,TN9602,CNN.O=S(=O)(O)O,0.7974
56,T40811,NCCCC(N)(C(=O)O)C(F)F,0.7969
57,T0658,OCCc1ccccn1,0.7969
58,T5281,Cc1c[nH]c2ccccc12,0.7959
59,TN9688,CC(C)c1cccc2ccccc12,0.7939
60,T205990,CC(C)C1NC(=O)NC1=O,0.7935
61,T203882,CC(C)C1CCCCC1,0.7930
62,T71921,O=C(O)[C@H]1O[C@H]1C(=O)O,0.7930
63,T2O2728,NCC(=O)O,0.7920
64,TN6891,CCCCCCO,0.7905
65,TWO2771,OC1C2CC3CC(C2)CC1C3,0.7900
66,T204097,O=C(O)C1CNCCN1,0.7900
67,T4850,O=C(O)c1ccccn1,0.7900
68,TN8418,CC1=CCCCC1,0.7900
69,T77642,Cl.NCC1(C(=O)O)CC1,0.7891
70,T3486,Cc1cc(C(=O)O)sc1C(N)C(=O)O,0.7881
71,T67066,Cc1ccc(C)c(C)c1C,0.7881
72,T78044,CC(N)(CC(=O)O)C(=O)O,0.7881
73,TN9224,COc1c(C)cccc1C,0.7876
74,T5803,O=C(O)C(O)C(O)C(=O)O,0.7876
75,T7473,Brc1ccc2[nH]ccc2c1,0.7871
76,TN9766,CC1Cc2ccccc2N1,0.7871
77,T205956,c1ccc2ccccc2c1,0.7866
78,T4120,CN(C)CC(=O)O,0.7861
79,T0671,Oc1ccc2ccccc2c1,0.7861
80,TN7200,Clc1c[nH]c2ccccc12,0.7861
81,TN9716,COc1cnc2ccccc2c1,0.7856
82,TN9735,CCc1ccccc1C,0.7856
83,T6642,CC(N)C12CC3CC(CC(C3)C1)C2,0.7856
84,T205975,ClCC(Br)CBr,0.7852
85,TN9324,CC#Cc1ccccc1,0.7852
86,T203887,CCc1cccs1,0.7847
87,T0924,CCOC(=O)c1ccc(N)cc1,0.7842
88,T9365,Cc1cccc(C(=O)O)c1[N+](=O)[O-],0.7837
89,T4863,NC(CCS)C(=O)O,0.7827
90,TN9333,C1=CCNC1.Cl,0.7827
91,TN9534,Cc1cccc(-c2ccccc2)c1,0.7822
92,T0308,CC(O)(P(=O)(O)O)P(=O)(O)O,0.7812
93,T0513,Oc1c(I)cc(I)c2cccnc12,0.7808
94,T77504,Clc1nc(Cl)c2sccc2n1,0.7808
95,T205940,O=C1CC(=O)NC(=O)N1,0.7798
96,T27792,C[C@H](N)CO,0.7793
97,T4088,CC1=CC(=O)C(C(C)C)=CC1=O,0.7793
98,T5059,O=C(O)[C@H](O)[C@@H](O)C(=O)O,0.7793
99,T18161,COCCOCCBr,0.7788
100,T20348,C=CCNc1ccccc1,0.7788
101,T66826,Cl.NCCCCC(N)C(=O)O,0.7773
102,TN1595,O=C(O)[C@@H](O)[C@H](O)C(=O)O,0.7773
103,TYD-00517,Cc1ccc2[nH]ccc2c1,0.7764
104,TN9337,Cc1[nH]c2ccccc2c1C,0.7764
105,T7448,CC(O)[C@H](C)[C@H](N)C(=O)O,0.7764
106,T77689,N[C@@H]1CCCC[C@H]1N,0.7764
107,T1396,CCC1(C)CC(=O)NC(=O)C1,0.7764
108,T29345,CCc1ccc(C)cc1O,0.7759
109,T205986,CC(C)CCC(C)O,0.7754
110,T12441,NNCCc1ccccc1.O=S(=O)(O)O,0.7749
111,T5055,CSCC[C@H](NC=O)C(=O)O,0.7749
112,T77346,Nc1nc2ccc(O)cc2s1,0.7744
113,T0769,CC(=O)N[C@@H](CCC(N)=O)C(=O)O,0.7739
114,T1680,Cl.c1ccc(CC2=NCCN2)cc1,0.7734
