Rank,ID,SMILES,Score
1,TN9271,COc1ccc(OC)c(OC)c1,0.8037
2,T39686,COc1cccc2ccccc12,0.7979
3,TN7237,COc1cc2c(c(OC)c1)C(=O)OC2,0.7944
4,TYD-02845,Nc1c(Cl)ccc2c1CCO2,0.7856
5,T37508,COc1ccc2c(c1OC)C(=O)OC2,0.7852
6,T7448,CC(O)[C@H](C)[C@H](N)C(=O)O,0.7847
7,T5569,CC(C)C(N)CC(=O)O,0.7817
8,T0983L,CC(C)(S)C(N)C(=O)O,0.7720
9,TN6756,CC(N)CC(=O)O,0.7700
10,T40731,COc1cccc(OC)c1OC,0.7671
11,T2P2919,C[C@@H]([C@H](C)O)[C@H](N)C(=O)O,0.7603
12,TN4525,COC(=O)c1c(O)cccc1O,0.7588
13,T9298,CC(C)[C@@H](N)C(=O)O,0.7583
14,T67384,CCc1cccc(C)c1O,0.7559
15,TN9224,COc1c(C)cccc1C,0.7529
16,T206024,Cc1cccc(C)c1O,0.7524
17,TN9749,COc1c(Cl)cc(Cl)c(Cl)c1Cl,0.7480
18,T3758,COc1cccc(OC)c1C(=O)O,0.7476
19,TN9454,COc1cccc(C)c1O,0.7446
20,T0573,COc1ccc2ccccc2c1,0.7432
21,T86994,CCNc1ccccc1C,0.7422
22,T66911,COc1cccc(OC)c1,0.7412
23,T13485,NC(C(=O)O)c1ccccc1,0.7402
24,T2O2776,CC(C)[C@H](N)C(=O)O,0.7402
25,T2117,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,0.7393
26,T5874,COc1ccccc1C(=O)O,0.7388
27,TN9691,COc1c(Cl)cc(Cl)cc1Cl,0.7378
28,T4887,CC(CN)C(=O)O,0.7344
29,T74048,CCCN(CCCN)N(O)N=O,0.7324
30,T2593,Cl.NCCCC(N)(C(=O)O)C(F)F.O,0.7319
31,TN9440,O.O=C([O-])C(=O)[O-].[NH4+].[NH4+],0.7310
32,T11820,NC1(C(=O)O)CC2CCC1C2,0.7290
33,T1358,COc1cccc(Cl)c1Cl,0.7266
34,TN9637,Cc1coc2ccccc12,0.7246
35,T20129,C#CCC(N)C(=O)O,0.7231
36,T0983,CC(C)(S)[C@@H](N)C(=O)O,0.7231
37,T15097,CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@](C)([C@@]2(CO)[C@H](O)C1=O)[C@]31CO1,0.7227
38,T20326,COc1ccccc1OC,0.7207
39,TN11235,COc1cc(C)c(OC)c2c1OCO2,0.7207
40,T50075,Cc1noc(C)c1-c1ccccc1,0.7197
41,TN9258,COc1c(C)cc(C)cc1C,0.7188
42,T207074,CC(C)[N+](=O)[O-],0.7183
43,T0399,COC(=O)c1ccccc1O,0.7178
44,T7357,C[C@@H](CN)C(=O)O,0.7173
45,T38311,N[C@H](C(=O)O)c1ccsc1,0.7168
46,TN6822,COc1cc(C)cc(OC)c1,0.7158
47,TN9761,COc1cc(C)cc(C)c1C,0.7148
48,T20856,COc1c(Cl)ccc(Cl)c1C(=O)O,0.7148
49,TYD-02847,Cc1cc(N)cc(Br)c1O,0.7139
50,T38239,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2F)c(=O)[nH]1,0.7119
51,TNU0014,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c(=O)[nH]1,0.7119
52,TN9302,ClCCc1ccccc1,0.7119
53,T206032,COc1ccccc1N,0.7100
54,T0531,CC(C)C[C@H](CC(N)=O)CC(=O)O,0.7095
55,T67647,C[C@@H](O)[C@@H](N)C(=O)O,0.7085
56,T2875,O=c1ccc2ccc3occc3c2o1,0.7075
57,T16785,O=c1ncc(I)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,0.7070
58,TN9437,CC1(C)CC(=O)OC1=O,0.7070
59,TN9788,COc1ccccc1CC(C)=O,0.7070
60,TN9674,CCc1ccccc1C#N,0.7070
61,T22458,Brc1ccc2c(c1)NCCC2,0.7041
62,TN9310,Cc1cccc(C(C)C)c1N,0.7036
63,T78227,CSCC[C@H](N)C(N)=O.Cl,0.7031
64,TN9656,CCc1cccc(CC)c1O,0.7026
65,T7455,Cl.Nc1ccc(Cl)cc1C(=O)C(F)(F)F,0.7021
66,TN9269,Cc1ncc2c(n1)CSC2,0.7017
67,T31433,N#Cc1c(Cl)cccc1Cl,0.7017
68,T19302,CC[C@@H](N)C(=O)O,0.7002
69,TN9809,CC(C)(CO)C(=O)O,0.7002
70,T1721,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,0.6992
71,TN7177,O=C(O)c1c[nH]c2cc(Br)ccc12,0.6987
72,T9113,C=CCc1cc(OC)c2c(c1)OCO2,0.6987
73,T22362,COC(=O)c1c(Cl)cccc1Cl,0.6963
74,T23172,CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12,0.6963
75,T14839,C=C1C(=O)O[C@@H](CCC)[C@@H]1C(=O)O,0.6943
76,T206002,CCC(C)C(N)C(=O)O,0.6943
77,TN9817,CCC(N)C(=O)O,0.6943
78,T7852,O=C1C(Cl)=CC(=NCl)C=C1Cl,0.6938
79,T19831,NC(=O)C(=O)[O-].[Na+],0.6924
80,T6697,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.6919
81,TN6731,CNc1ccccc1C(=O)OC,0.6909
82,T5984,O=C(O)c1c[nH]c2ccccc12,0.6899
83,T66826,Cl.NCCCCC(N)C(=O)O,0.6885
84,T1690,Nc1c(Br)cc(Br)cc1C=O,0.6875
85,T9626,NC1(C(=O)O)CCCC1,0.6875
86,TN7223,COc1c(Br)cc(C(=O)O)cc1Br,0.6875
87,TN5400,CC1=CC(=O)C(=C(C)C)C[C@@H]2[C@@](C)(O)CC[C@]12O,0.6875
88,T10668,c1ccc2c(-c3nccs3)c[nH]c2c1,0.6855
89,TN9182,Cc1oc2ccccc2c1C,0.6855
90,T12616L,CC1CCc2c(cc(Br)c(F)c2Br)N1C=O,0.6851
91,T0551,Cl.NCCC[C@@H](N)C(=O)O,0.6851
92,TN9354,Cc1ccc(C)c(O)c1C,0.6846
93,T19030,O=[N+]([O-])c1ccc(Cl)c2nonc12,0.6836
94,T40729,C[C@H](O)[C@@H](N)C(=O)O,0.6831
95,TN6710,COC(=O)c1ccccc1OC(C)=O,0.6826
96,T41301,N[C@@H](CS(=O)O)C(=O)O.O,0.6821
97,T9143,CC[C@@H](C)[C@@H](N)C(=O)O,0.6821
98,T37190,C=CC[C@H](N)C(=O)O,0.6816
99,T67689,O.O.O.O.O.O.O=[N+]([O-])c1ccc(OP(=O)([O-])[O-])cc1.[Na+].[Na+],0.6816
100,T203890,CCCC(N)CC(=O)O,0.6812
101,T7401,C[C@@H](CN)C(=O)O.Cl,0.6812
102,T5554,COc1cc(OC)cc(OC)c1,0.6807
103,TNU0187,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1F,0.6807
104,T67447,COc1ccccc1C,0.6807
105,T19736,ClCCN(CCCl)c1ccccc1,0.6792
106,T30355,OB(O)c1ccccc1,0.6787
107,T0731,CCN(CC)C(=O)c1cccc(C)c1,0.6782
108,TN9709,Cc1ccc2cccc(C)c2n1,0.6782
109,T20926,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0.6768
110,T21278,COc1cccc(C)c1,0.6768
111,T201584,NC(=O)C(=O)O,0.6763
112,T2772,C=CCSC[C@H](N)C(=O)O,0.6763
113,TN9818,CC[C@H](N)C(=O)O.Cl,0.6758
114,T67291,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)[nH]1,0.6753
115,T5306,CC[C@H](N)C(=O)O,0.6753
116,TN9293,Cc1ccc(C)c(N)c1.Cl,0.6748
117,TN7106,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,0.6748
118,TN9281,CCn1ccc2ccccc21,0.6743
119,TN5088,COc1cccc(OC)c1O,0.6733
120,TD1004,Nc1ccc([N+](=O)[O-])cc1Cl,0.6733
121,T5747,COc1cc2occc2c2oc(=O)ccc12,0.6733
122,TN7183,COC(=O)Cc1c[nH]c2cc(Br)ccc12,0.6724
123,TN9522,Cc1ccc2ccccc2c1O,0.6714
124,T5088,O=C([O-])Cc1c[nH]c2ccccc12.[Na+],0.6709
