Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of miRNA Transcription (GO:1902894),3/20,7.154717101473363e-08,7.439219010270312e-06,0,0,587.4705882352941,9665.600052219044,PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of miRNA Metabolic Process (GO:2000629),3/21,8.34531075765874e-08,7.439219010270312e-06,0,0,554.8055555555555,9042.765180259086,PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response (GO:0050728),4/111,1.1081033350512545e-07,7.439219010270312e-06,0,0,148.66542056074766,2380.942985964164,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Defense Response (GO:0031348),4/112,1.1489141328602801e-07,7.439219010270312e-06,0,0,147.28148148148148,2353.451793834528,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Response To External Stimulus (GO:0032102),4/146,3.337237903582195e-07,1.7286892340555766e-05,0,0,111.82535211267606,1667.6461264519896,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Primary Metabolic Process (GO:0080090),3/43,7.705543808342472e-07,3.3262264106011665e-05,0,0,249.3875,3510.4172562030494,PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Lipid Metabolic Process (GO:0019216),3/54,1.544906588352888e-06,5.716154376905686e-05,0,0,195.49019607843135,2615.765778181418,PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Sequestering Of Triglyceride (GO:0010891),2/5,1.7986799164027146e-06,5.820408664904071e-05,0,0,1903.619047619048,25181.943747367222,PPARG;PPARA
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),3/59,2.022535829503345e-06,5.820408664904071e-05,0,0,177.99107142857142,2333.669144228843,PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),4/240,2.4304956500661007e-06,6.294983733671201e-05,0,0,66.96610169491525,865.6986109932656,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Cholesterol Storage (GO:0010887),2/8,5.032841318877048e-06,0.00011850053650810504,0,0,951.6666666666666,11609.88210896366,PPARG;PPARA
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),5/763,8.843809324811148e-06,0.0001908788845938406,0,0,31.71668865435356,369.0488192297732,THRB;NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Retinoic Acid Receptor Signaling Pathway (GO:0048384),2/11,9.87909375255386e-06,0.0001968219447624192,0,0,634.3492063492064,7310.931552421126,THRB;PPARG
GO_Biological_Process_2023,Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745),2/12,1.1852169299324696e-05,0.00021926513203750689,0,0,570.8857142857142,6475.556453852173,PPARG;PPARA
GO_Biological_Process_2023,Regulation Of Cellular Ketone Metabolic Process (GO:0010565),2/13,1.4003865212668664e-05,0.00024180007267207888,0,0,518.961038961039,5800.000520859682,NR1H4;PPARA
GO_Biological_Process_2023,Regulation Of Cholesterol Storage (GO:0010885),2/14,1.633405632897404e-05,0.0002488541523061339,0,0,475.6904761904762,5243.183292030245,PPARG;PPARA
GO_Biological_Process_2023,Regulation Of Sequestering Of Triglyceride (GO:0010889),2/14,1.633405632897404e-05,0.0002488541523061339,0,0,475.6904761904762,5243.183292030245,PPARG;PPARA
GO_Biological_Process_2023,Fatty Acid Metabolic Process (GO:0006631),3/122,1.810954311893032e-05,0.0002605762037668307,0,0,83.49579831932773,911.6965930087624,FASN;ACACA;PPARD
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),5/938,2.415518299549885e-05,0.0003292732839912738,0,0,25.53322615219721,271.44402300349805,THRB;NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Lipid Storage (GO:0010888),2/18,2.7437270887714988e-05,0.00035531265799590905,0,0,356.69642857142856,3746.5995382949022,PPARG;PPARA
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),5/1025,3.710821634864572e-05,0.0004576680016332972,0,0,23.248774509803923,237.17637539057972,THRB;NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Signaling Receptor Activity (GO:2000272),2/25,5.371108552771946e-05,0.00063232596143997,0,0,248.0496894409938,2438.797544724613,PPARG;PPARA
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),4/557,6.70812090887632e-05,0.0007553927458256377,0,0,28.12007233273056,270.22283258527006,NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),2/30,7.779048997398821e-05,0.000839489037635956,0,0,203.70408163265307,1927.3444106230904,PPARG;PPARA
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),5/1243,9.385677440960233e-05,0.00097235618288348,0,0,18.934773828756057,175.5961810757325,THRB;NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),3/231,0.00012135682488679858,0.0011607135251611,0,0,43.33991228070175,390.7862542853997,NR1H4;PPARG;PPARA
GO_Biological_Process_2023,mRNA Transcription By RNA Polymerase II (GO:0042789),2/38,0.00012548254326066126,0.0011607135251611,0,0,158.37301587301587,1422.719267111456,THRB;PPARG
GO_Biological_Process_2023,Fatty Acid Transport (GO:0015908),2/38,0.00012548254326066126,0.0011607135251611,0,0,158.37301587301587,1422.719267111456,PPARG;PPARD
GO_Biological_Process_2023,Regulation Of Small Molecule Metabolic Process (GO:0062012),2/40,0.0001391618496477865,0.0012428592778888,0,0,150.02255639097746,1332.181235322806,NR1H4;PPARA
GO_Biological_Process_2023,mRNA Transcription (GO:0009299),2/43,0.00016099400163033776,0.0013899148807419,0,0,139.02439024390245,1214.2589675263723,THRB;PPARG
GO_Biological_Process_2023,Positive Regulation Of Fat Cell Differentiation (GO:0045600),2/50,0.00021804660985203623,0.0018217442565057,0,0,118.70833333333331,1000.8064198202924,PPARG;PPARD
GO_Biological_Process_2023,Fatty Acid Biosynthetic Process (GO:0006633),2/65,0.0003689413127509055,0.0028956303031055,0,0,90.37641723356008,714.4140977699672,FASN;ACACA
GO_Biological_Process_2023,Monocarboxylic Acid Biosynthetic Process (GO:0072330),2/65,0.0003689413127509055,0.0028956303031055,0,0,90.37641723356008,714.4140977699672,FASN;ACACA
GO_Biological_Process_2023,Lipid Biosynthetic Process (GO:0008610),2/71,0.0004401618893536392,0.0033529979218409,0,0,82.4927536231884,637.5343547242987,FASN;ACACA
