Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,PPAR signaling pathway,3/74,4.019422011047598e-06,0.00012460208234247553,0,0,140.28169014084506,1742.91196538602,PPARG;PPARA;PPARD
KEGG_2021_Human,AMPK signaling pathway,3/120,1.723404001719666e-05,0.0002671276202665482,0,0,84.93162393162393,931.5830536397848,FASN;PPARG;ACACA
KEGG_2021_Human,Fatty acid biosynthesis,2/18,2.7437270887714988e-05,0.0002835184658397216,0,0,356.69642857142856,3746.5995382949022,FASN;ACACA
KEGG_2021_Human,Glucagon signaling pathway,2/107,0.0009960856277600272,0.0077196636151402,0,0,54.11156462585034,374.00167464672495,PPARA;ACACA
KEGG_2021_Human,Insulin signaling pathway,2/137,0.0016248907120127,0.0100743224144792,0,0,42.023280423280426,269.8867324286517,FASN;ACACA
KEGG_2021_Human,Non-alcoholic fatty liver disease,2/155,0.0020729611988468,0.0107102995273753,0,0,37.04575163398693,228.8974441857843,PPARG;PPARA
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0076254739654265,0.0337699561326032,0,0,156.0546875,760.9633551596094,AOC3
KEGG_2021_Human,beta-Alanine metabolism,1/30,0.0134218294793273,0.0461385169378649,0,0,86.04310344827586,370.92087702683546,AOC3
KEGG_2021_Human,Propanoate metabolism,1/34,0.0151992604555411,0.0461385169378649,0,0,75.59848484848484,316.4936999007962,ACACA
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0160869082852461,0.0461385169378649,0,0,71.27142857142857,294.3331456349383,AOC3
KEGG_2021_Human,Thyroid cancer,1/37,0.0165304655004847,0.0461385169378649,0,0,69.28819444444444,284.25829643277825,PPARG
KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.0178600710727219,0.0461385169378649,0,0,63.94871794871795,257.40559445949555,AOC3
KEGG_2021_Human,Pyruvate metabolism,1/47,0.0209562731864944,0.0495607834913244,0,0,54.19836956521739,209.4938923322211,ACACA
KEGG_2021_Human,Pathways in cancer,2/531,0.0223822893186626,0.0495607834913244,0,0,10.511477180664324,39.93820290592871,PPARG;PPARD
KEGG_2021_Human,Acute myeloid leukemia,1/67,0.0297548181817399,0.0593471658597939,0,0,37.73674242424242,132.63575146396252,PPARD
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.0306307952824743,0.0593471658597939,0,0,36.62316176470589,127.65916393890298,PPARA
KEGG_2021_Human,Bile secretion,1/90,0.0397862042440472,0.0725513136214979,0,0,27.952247191011235,90.12461522615384,NR1H4
KEGG_2021_Human,Longevity regulating pathway,1/102,0.0449832858833605,0.0774712145768986,0,0,24.61633663366337,76.34668884813594,PPARG
KEGG_2021_Human,Insulin resistance,1/108,0.0475724385673413,0.0776181892414516,0,0,23.22897196261682,70.74387376718869,PPARA
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.0531608761491816,0.082268553046344,0,0,20.698958333333334,60.73969737237706,THRB
KEGG_2021_Human,Osteoclast differentiation,1/127,0.0557303101281685,0.082268553046344,0,0,19.70734126984127,56.89964886057114,PPARG
KEGG_2021_Human,Hepatitis C,1/157,0.0684847467844407,0.0965012341053483,0,0,15.893429487179487,42.61257681515272,PPARA
KEGG_2021_Human,Wnt signaling pathway,1/166,0.0722810983110097,0.0974223498974479,0,0,15.01969696969697,39.45963700558561,PPARD
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.0831712032407706,0.1069185382881251,0,0,12.958115183246074,32.224941948972926,PPARG
KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.0877442437219528,0.1069185382881251,0,0,12.245668316831685,29.797740052778707,PPARA
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.0927098812894457,0.1069185382881251,0,0,11.55198598130841,27.47385973581553,PPARG
KEGG_2021_Human,cAMP signaling pathway,1/216,0.0931225978638509,0.1069185382881251,0,0,11.497674418604651,27.29362101529305,PPARA
KEGG_2021_Human,Thermogenesis,1/232,0.0997034064440166,0.1096428710362267,0,0,10.692640692640692,24.65247587044531,PPARG
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.1025691374209863,0.1096428710362267,0,0,10.374474789915968,23.6249427692748,PPARA
KEGG_2021_Human,Huntington disease,1/306,0.1295908107407904,0.1339105044321501,0,0,8.068032786885245,16.486003606054858,PPARG
KEGG_2021_Human,Neuroactive ligand-receptor interaction,1/341,0.1434169715896719,0.1434169715896719,0,0,7.224632352941176,14.030228851213412,THRB
