Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Nuclear Receptor Transcription Pathway R-HSA-383280,5/53,1.3453791059708252e-11,1.0897570758363684e-09,0,0,519.3489583333334,13000.218578067725,THRB;NR1H4;PPARG;PPARA;PPARD
Reactome_2022,SUMOylation Of Intracellular Receptors R-HSA-4090294,4/29,4.466886561070639e-10,1.8090890572336087e-08,0,0,638.912,13755.238215675075,THRB;NR1H4;PPARG;PPARA
Reactome_2022,Metabolism Of Lipids R-HSA-556833,6/732,1.8003233172056774e-07,4.8608729564553286e-06,0,0,53.07162534435262,824.2092080851526,FASN;NR1H4;PPARG;PPARA;ACACA;PPARD
Reactome_2022,Metabolism Of Steroids R-HSA-8957322,4/153,4.0268087657694316e-07,8.154287750683097e-06,0,0,106.53422818791948,1568.7294495259198,FASN;NR1H4;PPARA;ACACA
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,4/168,5.856898907828051e-07,8.29620025639644e-06,0,0,96.71707317073172,1387.9359777548884,THRB;NR1H4;PPARG;PPARA
Reactome_2022,SUMOylation R-HSA-2990846,4/174,6.739791496439245e-07,8.29620025639644e-06,0,0,93.27529411764706,1325.448147306943,THRB;NR1H4;PPARG;PPARA
Reactome_2022,Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,3/42,7.169555777132726e-07,8.29620025639644e-06,0,0,255.7948717948718,3619.050294704087,FASN;PPARA;ACACA
Reactome_2022,Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,3/55,1.6336687869143735e-06,1.6540896467508033e-05,0,0,191.72115384615384,2554.623461903292,FASN;PPARA;ACACA
Reactome_2022,Generic Transcription Pathway R-HSA-212436,6/1190,3.1506174684430205e-06,2.780140417368235e-05,0,0,31.76858108108108,402.44159275972765,THRB;FASN;NR1H4;PPARG;PPARA;PPARD
Reactome_2022,Metabolism R-HSA-1430728,7/2049,3.5043115225393462e-06,2.780140417368235e-05,0,0,30.76469147894221,386.4511791381421,AOC3;FASN;NR1H4;PPARG;PPARA;ACACA;PPARD
Reactome_2022,ChREBP Activates Metabolic Gene Expression R-HSA-163765,2/7,3.775499332228468e-06,2.780140417368235e-05,0,0,1142.057142857143,14260.842315468846,FASN;ACACA
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,6/1312,5.572492640422297e-06,3.76143253228505e-05,0,0,28.614088820826957,346.1637493203349,THRB;FASN;NR1H4;PPARG;PPARA;PPARD
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,6/1449,9.93622411016695e-06,6.191031945565561e-05,0,0,25.707553707553707,296.1336269765375,THRB;FASN;NR1H4;PPARG;PPARA;PPARD
Reactome_2022,PPARA Activates Gene Expression R-HSA-1989781,3/116,1.5567869783937323e-05,8.848961821830681e-05,0,0,87.95575221238938,973.6966865819172,NR1H4;PPARG;PPARA
Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,3/118,1.6386966336723482e-05,8.848961821830681e-05,0,0,86.41739130434783,952.2353325362212,NR1H4;PPARG;PPARA
