gene,pdb_id,resolution,is_seed,title,status
THRB,,,,,no_structure
NR1H4,,,,,no_structure
PPARA,,,,,no_structure
PPARG,,,,,no_structure
PPARD,,,,,no_structure
ACACA,,,,,no_structure
FASN,,,,,no_structure
AOC3,,,,,no_structure
SCD1,,,,,no_structure
SCD,,,,,no_structure
NR1H3,,,,,no_structure
MLXIPL,,,,,no_structure
DGAT2,,,,,no_structure
XPR1,,,,,no_structure
ELOVL6,,,,,no_structure
GPAM,,,,,no_structure
RXRA,,,,,no_structure
THRSP,,,,,no_structure
RXRB,,,,,no_structure
RXRG,,,,,no_structure
