Protein_A,Protein_B,Score
PPARG,RXRA,0.999
PPARA,RXRA,0.999
RXRA,NR1H4,0.999
RXRA,NR1H3,0.999
FASN,ACACA,0.998
RXRB,NR1H3,0.998
PPARG,XPR1,0.996
PPARD,RXRA,0.995
THRB,RXRA,0.993
XPR1,NR1H4,0.99
SCD,ELOVL6,0.984
PPARG,RXRB,0.98
XPR1,PPARA,0.97
PPARG,RXRG,0.963
RXRG,NR1H3,0.961
FASN,SCD,0.96
PPARD,RXRB,0.948
RXRG,RXRA,0.943
RXRG,RXRB,0.938
SCD,ACACA,0.937
RXRB,RXRA,0.934
RXRB,PPARA,0.932
FASN,ELOVL6,0.918
PPARD,RXRG,0.891
RXRG,PPARA,0.889
PPARD,PPARA,0.887
XPR1,NR1H3,0.885
RXRB,NR1H4,0.878
RXRG,NR1H4,0.869
ELOVL6,ACACA,0.868
PPARG,NR1H3,0.865
PPARG,FASN,0.86
PPARA,NR1H3,0.86
THRSP,FASN,0.852
DGAT2,SCD,0.844
XPR1,RXRA,0.84
GPAM,SCD,0.839
DGAT2,FASN,0.831
FASN,NR1H3,0.827
FASN,MLXIPL,0.813
RXRG,THRB,0.788
THRSP,ACACA,0.784
FASN,PPARA,0.784
SCD,PPARA,0.766
THRSP,ELOVL6,0.761
SCD,NR1H3,0.756
PPARD,XPR1,0.748
MLXIPL,ACACA,0.748
GPAM,FASN,0.746
PPARG,SCD,0.746
ELOVL6,PPARA,0.741
MLXIPL,PPARA,0.738
DGAT2,ACACA,0.735
MLXIPL,SCD,0.732
GPAM,PPARA,0.73
DGAT2,GPAM,0.728
GPAM,ACACA,0.727
MLXIPL,NR1H4,0.727
PPARA,ACACA,0.721
PPARG,PPARD,0.715
GPAM,PPARG,0.709
PPARG,ACACA,0.703
PPARG,MLXIPL,0.685
FASN,RXRA,0.682
DGAT2,PPARA,0.678
MLXIPL,ELOVL6,0.656
DGAT2,PPARG,0.654
GPAM,ELOVL6,0.65
PPARG,PPARA,0.647
SCD,RXRA,0.647
MLXIPL,XPR1,0.644
DGAT2,MLXIPL,0.634
NR1H3,ACACA,0.626
MLXIPL,NR1H3,0.625
GPAM,NR1H3,0.617
DGAT2,THRSP,0.615
DGAT2,ELOVL6,0.611
DGAT2,PPARD,0.608
THRSP,SCD,0.598
XPR1,THRB,0.589
GPAM,THRSP,0.586
XPR1,SCD,0.578
FASN,XPR1,0.561
FASN,RXRB,0.554
GPAM,PPARD,0.553
RXRG,XPR1,0.547
PPARG,NR1H4,0.539
THRSP,NR1H4,0.534
PPARD,NR1H3,0.533
GPAM,MLXIPL,0.528
FASN,PPARD,0.527
SCD,NR1H4,0.52
SCD,RXRB,0.52
PPARD,NR1H4,0.514
PPARG,ELOVL6,0.51
PPARD,SCD,0.506
FASN,NR1H4,0.497
PPARD,MLXIPL,0.488
DGAT2,NR1H3,0.481
THRB,NR1H4,0.471
ELOVL6,NR1H4,0.468
THRSP,MLXIPL,0.466
XPR1,ACACA,0.464
THRSP,PPARG,0.462
RXRB,THRB,0.454
DGAT2,NR1H4,0.447
PPARD,ACACA,0.445
THRSP,THRB,0.444
NR1H4,ACACA,0.432
NR1H4,NR1H3,0.426
ELOVL6,NR1H3,0.408
