ID,Activity_Level,Toxicity_Level,Rank_Score,Active_Count,Total_Assay_Count,Active_Targets,Active_Accessions,Toxicity_Targets
T4351,高活性,低毒性,1,317,622,29335;100135587;4985;18386;100379267;24613;887;18390;100135588;18387;4988;4986;25601,P33535;P33533;P42866;NP_058863;P35372;P33534;P41143;P47748;P41145;NP_001033688;P32300;P41144;P32239;P97266;NP_001138755;NP_000903,
T21281,高活性,低毒性,1,247,280,771;80733;3636621;765;768;759;760;766;23632;762;763;887836;11238;45427576;855692;377677;280741,Q9ULX7;Q8N1Q1;Q3I4V7;A6YCJ1;B5SU02;P35218;P43166;P23280;Q31FD6;Q16790;Q6FTL6;Q5AJ71;O43570;C0IX24;P53615;Q99N23;Q95323;A0A0H3GB68;B2V8E3;P9WPJ9;P00915;O24855;P00918;Q5TU56;Q9Y2D0;P22748,
T4988,高活性,低毒性,1,206,613,1215;1513;5476;1520;1515;8722,P0DTD1;Q9UBX1;P27958;C1KIQ2;P00734;P23946;O60911;P07858;A3EZI9;P43235;NP_001161066;P0C6U8;A3EZJ3;F5B4I0;D2K2A8;P25774;P07711,
T23782,高活性,低毒性,1,193,237,3636621;762;280741;771;765;12352;759;760;45427576;80733;11238;855692;886987;768;766;23632;763;887836;45425256,Q9ULX7;Q3I4V7;A6YCJ1;B5SU02;P35218;P43166;3D8W_A;P23280;P22748;Q31FD6;NP_001122302;P23589;Q6FTL6;C0IX24;Q5AJ71;O43570;P53615;Q99N23;Q95323;A0A0H3GB68;3DBU_A;B2V8E3;P9WPJ9;P9WPJ7;Q5U9J1;P00915;NP_001209;O24855;P00918;Q5TU56;Q9Y2D0;Q16790,
T9323,高活性,低毒性,1,187,210,3636621;762;280741;771;765;759;760;71934;80733;11238;855692;886987;761;41601394;768;766;23632;763;45425256,Q9ULX7;Q3I4V7;2POW_A;A6YCJ1;B5SU02;P35218;P07451;P43166;P23280;Q9D6N1;Q31FD6;Q16790;Q6FTL6;Q5AJ71;O43570;C0IX24;P53615;Q99N23;Q95323;A0A0H3GB68;B2V8E3;P9WPJ7;Q5U9J1;P00915;O24855;P00918;Q5TU56;P40881;Q9Y2D0;P22748,
T7503,高活性,低毒性,1,176,439,3932;22848;2580;3718;2869;5562;3791;4058;2260;238;6093;7297;3456;10188;5588;9212;6197;6790;5979;9475;3106;57118;3716;8576,P01574;Q13464;Q13131;Q9UM73;Q9R117;O60674;Q62137;P01889;Q07912;P23458;Q62120;P06239;P51812;O14976;NP_002218;P34947;O14965;Q96GD4;P52333;Q8IU85;P35968;Q2M2I8;P29376;P07949;O75116;O75716;P52332;P11362;Q04759;P29597,
T7813,高活性,低毒性,1,163,241,17202;124274;4161;4157;17199;4160;4159;17203;17201,P56450;Q01727;P32245;P41968;P33032;P41149;Q6DWJ6;Q01726;P33033,
TQ0053,高活性,低毒性,1,137,152,983;1020;1019;891;8851,P11802;P51946;P50750;P50613;O60563;Q15078;Q8TD08;P24941;P14635;P24864;P06493;P24385;Q00535;P20248,
T13320L,高活性,低毒性,1,128,157,150;1815;3274;140;4543;4887;24173;25265;29336;29412;10800;16177;10280;1136;29709;81574;14811;84109;154;4986;135;24208;1128;306255;1134;2099;3757;4985;25399;101823647;1131;257648;3350;24410;1814;3759;3758;1909;29559;623;6530;2550;1812;146;153;3269;83612;24521;3761;624;134;3769;1813;6532;4886;2908;3766;1129;24408;81812;6531;4988;6869;1910,NP_000665;NP_000701;NP_001034;NP_112258;NP_899156;NP_000669;XP_001057307;NP_000785;NP_057658;NP_671482;AAD14378;NP_000675;NP_000731;NP_113970;NP_000015;NP_000902;NP_006630;NP_000734;NP_000788;NP_937822;NP_058687;NP_000515;NP_000070;NP_032196;NP_036634;NP_000900;NP_000787;NP_001018087;NP_001461;NP_058887;NP_032388;NP_037051;NP_112396;NP_000672;NP_001036;NP_110502;NP_058706;NP_036932;NP_036706;NP_000614;NP_071640;NP_000729;P35560;NP_000666;NP_001049;NP_005857;NP_000229;NP_000903;NP_001035;NP_001091683;NP_001948;P49658;NP_000901;NP_000106;NP_000116;NP_000730;NP_000905;P48048;NP_005949;NP_058937,
T14894,高活性,低毒性,1,128,250,5594;5595,P27361;P28482,
T16567,高活性,低毒性,1,126,184,64223;5294;79109;2475;253260;57521,P42336;P42345;Q8N122;Q9BVC4;P48736;Q9BPZ7;Q6R327,
T4577,高活性,低毒性,1,126,301,29412;1815;24173;3358;150;1565;3357;1128;148;3757;3363;7421;3350;1816;1814;1812;3269;3356;1813;1129;29413;25549,ANW61984;P08908;NP_057658;P35462;P08913;P41595;P08172;P11229;P43140;P15823;Q01827;P21917;P21728;P28223;P21918;P23944;P35348;NP_387512;P34969;P35367;P14416;Q12809;P28335;P11473,
T2494,高活性,低毒性,1,125,413,3690;3678;3674;3694;3685;3693;3688,P18564;P05106;P08514;P05556;P06756;P18084;P08648,
T7173,高活性,低毒性,1,121,299,100135587;18386;4985;100379267;24613;18387;18390;5173;4988;4986;25601,P33535;P33533;P42866;B3DH72;P33534;P35372;P41143;A3QJX7;P01213;P41145;P41144;B8JHS2;P97266;P32300,
T69742,高活性,低毒性,1,119,121,1021;5291;1019,P11802;P50750;P42338;P42336;O60885;Q00534,
T9650,高活性,低毒性,1,117,266,1559;5159;1576;3791;2050,P08684;P35968;P11712;P09619;P54760,
T16974,高活性,低毒性,1,116,129,7317;7324;10054,Q9UBT2;P51965;P22314,
T8658,高活性,低毒性,1,116,218,2033;8019;1387;6046,Q9H8M2;Q9UIF9;P25440;Q58F21;P55201;Q09472;Q15059;Q92793;P21675;O60885;Q9UIF8;Q9BXF3,
T7218,高活性,低毒性,1,115,372,29335;24807;100135587;18386;4985;24613;100379267;18390;4988;4986;25601,P33533;P33535;P42866;P14600;P35372;P41143;P41145;NP_001033688;P34975;P41144;P97266;Q8CGM4;P32300,
T9141,高活性,低毒性,1,114,230,5594;5595,P28482;P27361,
TQ0208,高活性,低毒性,1,109,275,9869;3276;79084;1789;3919476;10419;4297;55170;56339;84444;2146;29443;10919;6839;79813;56950;11185;84787;10498;10196;1786;2145;5929;880357;84661;11091;77219763;9070,1JQD_A;Q9UBC3;Q9HXQ1;V5TFZ2;Q15910;Q96KQ7;Q86U44;Q9UBL3;O95050;Q96LA8;Q86X55;1QAN_A;Q15047;Q9C005;Q03164;O14744;Q92800;O43463;Q9H9B1;Q9NVM4;Q9HCE5;P0DTD1;Q86Y97;Q2FZ43;1S4D_A;Q8TEK3;Q9BQA1;P26358;O60678;1NW7_A;Q15291;Q99873;1AQI_A;P10760;Q9NRG4;P61964;2H23_A,
T11383,高活性,低毒性,1,101,195,2264;4916;6850;3932;1455;3718;7010;9833;25;640;3791;1263;4140;57551;2260;57396;238;2242;8536;5601;3717;6093;3654;51776;3643;4751;4914;2324;5159;1456;6714;23683;4915;7297;10769;4233;1436;558;4145;9252;695;4067;818;1859;2534;2321;2011;5871;6197;6790;9748;2322;50488;53944;3984;1196;2872;2263;3815;817;6788;10733;2261;1969;9448;5979;9475;6198;147746;2444;2241;5156;1588;11183,Q9NYY3;P07333;P35916;P35968;O00444;Q02763;P10721;P21802;P09619;P17948;P36888;Q9H4B4;P11362;P22607;P11511;P22455;P16234,
T21519,高活性,低毒性,1,97,251,135;11542;100135472;136;11540;29290;282133;57413;29316;11539;25369;134;100911796,P29275;Q60612;Q60613;P30543;NP_001041695;P0DMS8;NP_037028;Q4VQ11;NP_058851;P47745;P25099;NP_000667;NP_445746;NP_000666;P28647;Q61618;NP_001075445;P30542;P29276;P29274;P28190,
T16844,高活性,低毒性,1,96,113,25451;29707;140674;289606;140675;29708;79211;65191;29705;29709;81658;24947;24922;29689;25450,P28473;P15431;P19969;P62813;P63138;P63079;O09028;P18506;P30191;P18508;Q9ES14;P20236;P28471;P23574;P23576;Q91ZM7,
T12154,高活性,低毒性,1,92,134,3757;1565,Q12809;P10635,
T7040,高活性,低毒性,1,85,268,81638;24180;281607;185;186;24182;29553,P50052;P30556;P25095;NP_203694;P29089;P35351;P25104;NP_000677,
