Rank,Original_ID,Type,Gene_Symbol,Protein_Name,UniProt_ID,Entrez_GeneID,Molecule_Count
1,P43405,RefSeq,SYK,spleen associated tyrosine kinase,P43405,6850,1472
2,O96028,RefSeq,NSD2,nuclear receptor binding SET domain protein 2,O96028,7468,1251
3,ABI96208,RefSeq,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,1576,1221
4,NP_000756,RefSeq,CYP3A7,cytochrome P450 family 3 subfamily A member 7,P24462,1551,1093
5,ANW61984,RefSeq,CYP2D6,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),P10635,1565,1051
6,QLI62812,RefSeq,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,1559,894
7,AAI07878,RefSeq,TDP1,tyrosyl-DNA phosphodiesterase 1,Q9NUW8,55775,879
8,AAV41877,RefSeq,CYP2C19,cytochrome P450 family 2 subfamily C member 19,P33261,1557,840
9,AAI32976,RefSeq,AR,androgen receptor,P10275,367,794
10,ADZ17378,RefSeq,ESRRA,estrogen related receptor alpha,P11474,2101,728
11,AGS09764,RefSeq,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,1559,721
12,EAW99313,RefSeq,CYP1A2,cytochrome P450 family 1 subfamily A member 2,P05177,1544,716
13,AEP43755,RefSeq,ESR1,estrogen receptor 1,P03372,2099,670
14,ADZ17384,RefSeq,NR1I2,nuclear receptor subfamily 1 group I member 2,O75469,8856,646
15,ACA62796,RefSeq,,,,,622
16,NP_001257783,RefSeq,,,,,615
17,AAI13617,RefSeq,GLI3,GLI family zinc finger 3,P10071,2737,546
18,AAY56401,RefSeq,NR1I3,nuclear receptor subfamily 1 group I member 3,Q14994,9970,461
19,ABB72139,RefSeq,PGR,progesterone receptor,P06401,5241,430
20,NP_006155,RefSeq,NFE2L2,NFE2 like bZIP transcription factor 2,Q16236,4780,398
21,B45705,RefSeq,,,,,394
22,NP_000610,RefSeq,IFNG,interferon gamma,P01579,3458,384
23,CAQ07474,RefSeq,,,,,382
24,ADZ17337,RefSeq,RARA,retinoic acid receptor alpha,P10276,5914,376
25,NP_000752,RefSeq,CYP1A2,cytochrome P450 family 1 subfamily A member 2,P05177,1544,370
26,EAL24281,RefSeq,,,,,353
27,AAH14804,RefSeq,,,,,346
28,AAA29795,RefSeq,,,,,341
29,NP_059488,RefSeq,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,1576,333
30,P13699,RefSeq,,,,,326
31,Q12809,RefSeq,KCNH2,potassium voltage-gated channel subfamily H member 2,Q12809,3757,323
32,Q99700,RefSeq,ATXN2,ataxin 2,Q99700,6311,323
33,AAH11558,RefSeq,NFE2L2,NFE2 like bZIP transcription factor 2,Q16236,4780,318
34,P40261,RefSeq,NNMT,nicotinamide N-methyltransferase,P40261,4837,306
35,P21964,RefSeq,COMT,catechol-O-methyltransferase,P21964,1312,306
36,P50135,RefSeq,HNMT,histamine N-methyltransferase,P50135,3176,306
37,NP_001119587,RefSeq,TP53,tumor protein p53,P04637,7157,304
38,Q14749,RefSeq,GNMT,glycine N-methyltransferase,Q14749,27232,303
39,P11086,RefSeq,PNMT,phenylethanolamine N-methyltransferase,P11086,5409,303
40,Q14353,RefSeq,GAMT,guanidinoacetate N-methyltransferase,Q14353,2593,303
41,AAH96839,RefSeq,HTR2A,5-hydroxytryptamine receptor 2A,P28223,3356,299
42,P01574,RefSeq,IFNB1,interferon beta 1,P01574,3456,295
43,NP_000729,RefSeq,CHRM1,cholinergic receptor muscarinic 1,P11229,1128,294
44,Q9BV86,RefSeq,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,Q9BV86,28989,290
45,AAV31779,RefSeq,ESR2,estrogen receptor 2,Q92731,2100,286
46,EAW77416,RefSeq,CYP19A1,cytochrome P450 family 19 subfamily A member 1,P11511,1588,284
47,P09992,RefSeq,,,,,283
48,ADP91253,RefSeq,NR3C1,nuclear receptor subfamily 3 group C member 1,P04150,2908,274
49,P04637,RefSeq,TP53,tumor protein p53,P04637,7157,261
50,NP_001191727,RefSeq,KCNH2,potassium voltage-gated channel subfamily H member 2,Q12809,3757,259
51,BAH02283,RefSeq,PPARG,peroxisome proliferator activated receptor gamma,P37231,5468,259
52,P41595,RefSeq,HTR2B,5-hydroxytryptamine receptor 2B,P41595,3357,240
53,AAG24257,RefSeq,,,,,236
54,2O23_A,RefSeq,,,,,231
55,2O23_B,RefSeq,,,,,231
56,P35462,RefSeq,DRD3,dopamine receptor D3,P35462,1814,230
57,NP_035411,RefSeq,,,,,230
58,ABQ01243,RefSeq,KCNH2,potassium voltage-gated channel subfamily H member 2,Q12809,3757,229
59,P35348,RefSeq,ADRA1A,adrenoceptor alpha 1A,P35348,148,227
60,P28223,RefSeq,HTR2A,5-hydroxytryptamine receptor 2A,P28223,3356,226
61,NP_387512,RefSeq,DRD3,dopamine receptor D3,P35462,1814,222
62,NP_000785,RefSeq,DRD1,dopamine receptor D1,P21728,1812,220
63,EAW81333,RefSeq,TSHR,thyroid stimulating hormone receptor,P16473,7253,214
64,P08913,RefSeq,ADRA2A,adrenoceptor alpha 2A,P08913,150,206
65,EAX06628,RefSeq,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",P05412,3725,206
66,P23975,RefSeq,SLC6A2,solute carrier family 6 member 2,P23975,6530,204
67,P00533,RefSeq,EGFR,epidermal growth factor receptor,P00533,1956,204
68,P14416,RefSeq,DRD2,dopamine receptor D2,P14416,1813,201
69,P08908,RefSeq,HTR1A,5-hydroxytryptamine receptor 1A,P08908,3350,198
70,NP_056979,RefSeq,GMNN,geminin DNA replication inhibitor,O75496,51053,197
71,NP_000760,RefSeq,CYP2C19,cytochrome P450 family 2 subfamily C member 19,P33261,1557,196
72,NP_000918,RefSeq,ABCB1,ATP binding cassette subfamily B member 1,P08183,5243,193
73,BAC78637,RefSeq,,,,,192
74,BAC78638,RefSeq,,,,,192
