Rank,Type,ID,Molecule_Count
1,RefSeq,P43405,1472
2,RefSeq,O96028,1251
3,RefSeq,ABI96208,1221
4,RefSeq,NP_000756,1093
5,RefSeq,ANW61984,1051
6,RefSeq,QLI62812,894
7,RefSeq,AAI07878,879
8,RefSeq,AAV41877,840
9,RefSeq,AAI32976,794
10,RefSeq,ADZ17378,728
11,RefSeq,AGS09764,721
12,RefSeq,EAW99313,716
13,RefSeq,AEP43755,670
14,RefSeq,ADZ17384,646
15,RefSeq,ACA62796,622
16,RefSeq,NP_001257783,615
17,RefSeq,AAI13617,546
18,RefSeq,AAY56401,461
19,RefSeq,ABB72139,430
20,RefSeq,NP_006155,398
21,RefSeq,B45705,394
22,RefSeq,NP_000610,384
23,RefSeq,CAQ07474,382
24,RefSeq,ADZ17337,376
25,RefSeq,NP_000752,370
26,RefSeq,EAL24281,353
27,RefSeq,AAH14804,346
28,RefSeq,AAA29795,341
29,RefSeq,NP_059488,333
30,RefSeq,P13699,326
31,RefSeq,Q12809,323
32,RefSeq,Q99700,323
33,RefSeq,AAH11558,318
34,RefSeq,P40261,306
35,RefSeq,P21964,306
36,RefSeq,P50135,306
37,RefSeq,NP_001119587,304
38,RefSeq,Q14749,303
39,RefSeq,P11086,303
40,RefSeq,Q14353,303
41,RefSeq,AAH96839,299
42,RefSeq,P01574,295
43,RefSeq,NP_000729,294
44,RefSeq,Q9BV86,290
45,RefSeq,AAV31779,286
46,RefSeq,EAW77416,284
47,RefSeq,P09992,283
48,RefSeq,ADP91253,274
49,RefSeq,P04637,261
50,RefSeq,NP_001191727,259
51,RefSeq,BAH02283,259
52,RefSeq,P41595,240
53,RefSeq,AAG24257,236
54,RefSeq,2O23_A,231
55,RefSeq,2O23_B,231
56,RefSeq,P35462,230
57,RefSeq,NP_035411,230
58,RefSeq,ABQ01243,229
59,RefSeq,P35348,227
60,RefSeq,P28223,226
61,RefSeq,NP_387512,222
62,RefSeq,NP_000785,220
63,RefSeq,EAW81333,214
64,RefSeq,P08913,206
65,RefSeq,EAX06628,206
66,RefSeq,P23975,204
67,RefSeq,P00533,204
68,RefSeq,P14416,201
69,RefSeq,P08908,198
70,RefSeq,NP_056979,197
71,RefSeq,NP_000760,196
72,RefSeq,NP_000918,193
73,RefSeq,BAC78637,192
74,RefSeq,BAC78638,192
75,RefSeq,AAI14949,192
76,RefSeq,2QQS_A,191
77,RefSeq,NP_001017535,190
78,RefSeq,Q01959,188
79,RefSeq,P35968,178
80,RefSeq,P0DTD1,177
81,RefSeq,P08172,176
82,RefSeq,P18825,176
83,RefSeq,P18089,176
84,RefSeq,P28335,175
85,RefSeq,P36888,173
86,RefSeq,P11229,171
87,RefSeq,AAH14840,171
88,RefSeq,AAH50743,171
89,RefSeq,NP_000567,170
90,RefSeq,NP_000762,168
91,RefSeq,AAH21195,167
92,RefSeq,P35372,166
93,RefSeq,AAP35567,166
94,RefSeq,P00519,162
95,RefSeq,P08684,161
96,RefSeq,P0DMS8,161
97,RefSeq,AMB37292,161
98,RefSeq,P41145,159
99,RefSeq,P31645,159
100,RefSeq,P21728,157
101,RefSeq,NP_002383,157
102,RefSeq,EGV99105,157
103,RefSeq,NP_000097,157
104,RefSeq,NP_000786,157
105,RefSeq,NP_002384,156
106,RefSeq,ADZ17382,156
107,RefSeq,NP_000015,154
108,RefSeq,2W2I_A,152
109,RefSeq,AAA68151,150
110,RefSeq,P09874,149
111,RefSeq,BAA89212,149
112,RefSeq,ASK51714,148
113,RefSeq,P35367,143
114,RefSeq,P11712,141
