name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
T1789,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,1.000000,PPARG,0.379200,0.051099,0.696170,0.015525
T3595,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,1.000000,THRSP,0.251000,0.205275,0.646971,0.072468
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,1.000000,PPARG,0.420900,0.156311,0.642273,0.055917
T7395,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,1.000000,THRSP,0.415300,0.159449,0.596906,0.064273
TQ0243,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(N)=O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,0.888900,PPARG,0.385000,0.201700,0.631054,0.074416
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],0.810300,PPARG,0.239500,0.066667,0.558149,0.029457
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,0.773600,NR1H3,0.455100,0.053981,0.693244,0.016559
T15271,Cc1n[nH]c(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)n1,0.761200,PPARG,0.408400,0.312334,0.631642,0.115051
T4083,CC[C@@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,0.759300,NR1H3,0.447300,0.055586,0.691635,0.017141
T8752,[H][C@@]12CC[C@]([H])([C@H](C)CCCO)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@H](CC)[C@@H](O)[C@@]21[H],0.759300,NR1H3,0.425000,0.055586,0.691634,0.017141
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],0.703100,PPARG,0.542000,0.078913,0.577962,0.033304
T2968,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]21[H],0.690900,NR1H3,0.325700,0.034987,0.786642,0.007465
T2963,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,0.686600,PPARG,0.314200,0.050124,0.713404,0.014365
T7331,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.686600,NR1H3,0.334500,0.050124,0.713404,0.014365
T19189,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.686600,PPARG,0.313000,0.050124,0.713404,0.014365
T0700,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.666700,NR1H3,0.351300,0.042542,0.742219,0.010966
T0847,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.666700,PPARG,0.323000,0.042542,0.742219,0.010966
T29078,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,0.666700,NR1H3,0.344700,0.033282,0.869372,0.004348
T13506,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,0.666700,NR1H3,0.388700,0.042542,0.742219,0.010966
T207107,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,0.666700,PPARG,0.350100,0.042542,0.742219,0.010966
T36585,[H][C@@]12CCCC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,0.637700,NR1H3,0.278800,0.045861,0.707332,0.013422
T2831,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,0.621600,PPARG,0.250200,0.067569,0.545829,0.030688
T5072,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.621600,PPARG,0.267800,0.053959,0.704128,0.015965
T2202,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]34[H])[C@@]1(C)CC[C@@H](O)C2,0.620700,NR1H3,0.397000,0.029405,0.823196,0.005199
T35792,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,0.620700,NR1H3,0.357200,0.029405,0.823196,0.005199
T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,0.620700,NR1H3,0.373000,0.029405,0.823196,0.005199
