ID,DrugCLIP_Score,MASLD_Final_Score,Rank_Sum,Gene_UNIQ,Activity_Level,Toxicity_Level,Confirmed_Target,Activity_PMIDs,Toxicity_PMIDs
T2A2481,0.4729,0.8098,6,PPARG,活性,低毒性,Yes,10101033;10198348;10464146;10607905;10648470;11093941;11343252;12220224;12404239;12404240;12523936;12749886;12842829;12883481;15297262;15990295;18307294;1961729;20713311;22541068;24126916;26435512;7557095;7912687;7932551;8045503;8132774;8151614;8938553;9398014;9458785;9486191;9539145,
T4083,0.4473,0.82,7,NR1H3,活性,低毒性,,25247751;38691888,
TQ0252,0.4551,0.82,7,NR1H3,活性,低毒性,Yes,25247751;36049273,
TQ0243,0.385,0.88,8,PPARG,活性,低毒性,,39726379;40227434,
T4727,0.4309,0.7871,11,PPARG,活性,低毒性,,38691888,
T13092,0.542,0.7218,14,PPARG,高活性,低毒性,Yes,29148806;29259742,
T34788,0.4573,0.6542,17,PPARG,活性,低毒性,,10869290;11897625;12523936;12739759;12920197;18307294;18457386;19102680;20843939;22194678;22541068;25162837;25247751;26774929;28005388;31268316;33369415;34046622;7912687;8132774;9188796,
T11428,0.2395,0.7578,20,PPARG,高活性,低毒性,Yes,29148806;29259742,
T11662L,0.3457,0.7404,20,PPARG,高活性,低毒性,,20014870;23148522;23831134;24007860;24900463;24900564;24900622;25082126;27652492;30141927;32682201;32991173;33440321;36029562;36049273;37813065;38547240;38691888;39321318,
T11954,0.3186,0.7461,20,PPARG,活性,低毒性,Yes,17878314;18975928;24712661;32768645,
