name,smiles,max_tc,DrugCLIP_Score,DrugCLIP_Target,active_score,toxicity_score,recommend_score,T001_rank,T001_final_score,confirmed_target
T15621,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,0.2527,0.6738,PPARG,0.3091,0.5604,0.1359,,,
T17243,Cc1csc(N(C(=O)CSc2ccc(-c3ccccc3)nn2)C2CC2)n1,0.1532,0.6968,PPARG,0.2656,0.5344,0.1237,,,
T37385,Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(OC(F)(F)F)c3)nn2)s1,0.1548,0.6157,PPARG,0.2596,0.5105,0.1271,,,
T3261,COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc(=O)c4c([nH]3)CCOC4)CC3CC3)CC2)cc1,0.1651,0.4861,AOC3,0.3007,0.5260,0.1425,,,
T27682,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,0.1786,0.5757,PPARG,0.2696,0.5267,0.1276,,,
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,0.7736,0.4551,NR1H3,0.0540,0.6932,0.0166,18,0.88,NR1H4
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.4722,0.4729,PPARG,0.0697,0.5884,0.0287,22,0.8698,NR1H4
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],0.8103,0.2395,PPARG,0.0667,0.5581,0.0295,37,0.8178,NR1H4
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,0.4658,0.3186,PPARG,0.1154,0.4569,0.0627,41,0.8061,THRB
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],0.7031,0.5420,PPARG,0.0789,0.5780,0.0333,44,0.7818,NR1H4
