rank,name,smiles,max_tc,DrugCLIP_Score,DrugCLIP_Target,recommend_score
1,T15621,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,0.252700,0.673800,PPARG,0.135888
2,T7163,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,0.234000,0.588900,THRSP,0.122289
3,T39000,CC(C)(C)C(=O)NCc1ccc(Cl)c(-c2nn(-c3ccc(C(F)(F)F)cc3)c(=O)[nH]2)c1,0.215900,0.533700,RXRA,0.123922
4,T37622,CNc1nc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)ccc1C,0.218800,0.542000,THRSP,0.113410
5,T78127,C[C@H](NCc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(N)=O,0.213100,0.517600,AOC3,0.119556
6,TQ0266,Cc1[nH]nc2ncc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cc12,0.279100,0.531200,NR1H3,0.099626
7,T13323,COc1cc(C(=O)Nc2cc(OC(F)(F)F)ccc2-n2cncn2)ccc1OCC1CC1,0.214300,0.491900,PPARG,0.121357
8,T9993,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(Cl)c4)c23)CC1,0.191900,0.588900,PPARG,0.120377
9,T2363,CC(C)(C)c1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3cccnc3)cc2)cc1,0.225400,0.488800,PPARD,0.114544
10,T68092,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCNC2=O)CC1,0.233300,0.479700,NR1H3,0.115040
