ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Obeticholic acid (OCA),FXR,0.8103,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Obeticholic acid (OCA),FXR,0.7736,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Obeticholic acid (OCA),FXR,0.7031,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Obeticholic acid (OCA),FXR,0.5455,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Aramchol,SCD1,0.4872,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Obeticholic acid (OCA),FXR,0.4722,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,VK2809,THR-beta,0.4658,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Aramchol,SCD1,0.4286,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Aramchol,SCD1,0.3678,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Aramchol,SCD1,0.3226,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Aramchol,SCD1,0.2857,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.2692,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,VK2809,THR-beta,0.2527,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,VK2809,THR-beta,0.2247,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Denifanstat (TVB-2640),FASN,0.2135,PPARG,0.4219,活性,低毒性,FASN,2194
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Cilofexor (GS-9674),FXR,0.2128,RXRA,0.2966,活性,低毒性,PPARG,5468
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Denifanstat (TVB-2640),FASN,0.2,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Cilofexor (GS-9674),FXR,0.1981,RXRB,0.354,活性,低毒性,NR1H4,9971
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Cilofexor (GS-9674),FXR,0.1939,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Cilofexor (GS-9674),FXR,0.1856,PPARG,0.2467,活性,低毒性,PPARG,5468
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Firsocostat (GS-0976),ACC,0.1842,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Firsocostat (GS-0976),ACC,0.1842,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Aramchol,SCD1,0.1837,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,BI-1467335,AOC3/VAP-1,0.1795,PPARG,0.3604,活性,低毒性,PPARD,5467
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1771,RXRB,0.354,活性,低毒性,NR1H4,9971
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1765,RXRA,0.2966,活性,低毒性,PPARG,5468
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Resmetirom,THR-beta,0.1744,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Firsocostat (GS-0976),ACC,0.1743,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Denifanstat (TVB-2640),FASN,0.1739,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,BI-1467335,AOC3/VAP-1,0.1733,GPAM,0.4006,活性,低毒性,PPARG,5468
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,VK2809,THR-beta,0.1714,RXRB,0.354,活性,低毒性,NR1H4,9971
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,BI-1467335,AOC3/VAP-1,0.1711,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Cilofexor (GS-9674),FXR,0.1694,PPARG,0.4209,活性,毒性,ACACA,31;32
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,BI-1467335,AOC3/VAP-1,0.169,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Cilofexor (GS-9674),FXR,0.1683,GPAM,0.4006,活性,低毒性,PPARG,5468
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,BI-1467335,AOC3/VAP-1,0.1667,RXRA,0.2966,活性,低毒性,PPARG,5468
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1649,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,VK2809,THR-beta,0.1633,GPAM,0.4006,活性,低毒性,PPARG,5468
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,BI-1467335,AOC3/VAP-1,0.1618,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,VK2809,THR-beta,0.1584,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,VK2809,THR-beta,0.1579,RXRA,0.2966,活性,低毒性,PPARG,5468
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Firsocostat (GS-0976),ACC,0.1574,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,BI-1467335,AOC3/VAP-1,0.1571,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Cilofexor (GS-9674),FXR,0.1569,PPARG,0.4219,活性,低毒性,FASN,2194
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Cilofexor (GS-9674),FXR,0.1569,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Resmetirom,THR-beta,0.1566,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Firsocostat (GS-0976),ACC,0.156,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,VK2809,THR-beta,0.1557,PPARG,0.4209,活性,毒性,ACACA,31;32
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Firsocostat (GS-0976),ACC,0.1552,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1546,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Obeticholic acid (OCA),FXR,0.1538,THRB,0.3413,活性,低毒性,NR1H4,9971
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,BI-1467335,AOC3/VAP-1,0.1528,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Firsocostat (GS-0976),ACC,0.1524,PPARG,0.3794,活性,低毒性,ACACA,47;31
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,BI-1467335,AOC3/VAP-1,0.1519,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Firsocostat (GS-0976),ACC,0.1518,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1515,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1515,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,BI-1467335,AOC3/VAP-1,0.1486,PPARG,0.2467,活性,低毒性,PPARG,5468
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Firsocostat (GS-0976),ACC,0.1478,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Denifanstat (TVB-2640),FASN,0.1471,RXRB,0.354,活性,低毒性,NR1H4,9971
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Firsocostat (GS-0976),ACC,0.1468,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Resmetirom,THR-beta,0.1461,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,BI-1467335,AOC3/VAP-1,0.1446,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,VK2809,THR-beta,0.1443,PPARG,0.2467,活性,低毒性,PPARG,5468
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Aramchol,SCD1,0.1442,THRB,0.3413,活性,低毒性,NR1H4,9971
