ID,SMILES,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
TN6735,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(C)=O)[C@H]12,SCD,0.6104,活性,毒性,RXRA,6256
T87342,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,PPARG,0.5425,活性,低毒性,THRB,7068;2648;641;948669;51426;7421
T13092,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T11990,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,PPARD,0.4739,活性,低毒性,RXRA,1646;1645;5743;7276;443551;5742;19225;24693;2169;4929;8644;24360;79068;3164;29527;6256
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
TN1226,COC(C)(C)[C@H](O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,THRB,0.4707,活性,低毒性,NR1H4,9971
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T15209,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1,PPARD,0.4592,高活性,低毒性,NR1H4,9971;6555
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T6S2246,CC(=O)O[C@@H](C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)[C@H]1OC1(C)C,THRB,0.4548,活性,低毒性,NR1H4,9971
T16376,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(=O)O)c3ccc(O)cc3)cc2S(=O)(=O)N1,PPARD,0.4509,高活性,低毒性,NR1H4,9971;6555
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T5S2245,CC(=O)O[C@@H](C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1=O)[C@H]1OC1(C)C,THRB,0.4243,活性,低毒性,NR1H4,9971
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,PPARG,0.4219,活性,低毒性,FASN,2194
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,PPARG,0.4209,活性,毒性,ACACA,31;32
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,GPAM,0.4006,活性,低毒性,PPARG,5468
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T11303,C=C(c1ccc(C(=O)O)c(F)c1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,RXRG,0.3818,活性,低毒性,RXRA,6256
T15581,Cc1cc(Oc2ccc3nc(COc4ccc(CC5SC(=O)NC5=O)cc4)n(C)c3c2)cc(C)c1N,THRSP,0.3804,活性,毒性,PPARG,6850;5468
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,PPARG,0.3794,活性,低毒性,ACACA,47;31
T1783,Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,ACACA,0.3772,活性,低毒性,NR1H3;RXRA,6256;10062;7376;8856
T4628,CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,THRSP,0.3726,高活性,低毒性,PPARA;PPARD,5467;5465
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T22843,CN1c2ccc([N+](=O)[O-])cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C,AOC3,0.3633,高活性,低毒性,RXRA;RXRB;RXRG,6256;6257;6258
T15427,Cc1cc(C)c(S(=O)(=O)N(Cc2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)Cc2ccc(C(F)(F)F)o2)c(C)c1,THRSP,0.3613,活性,毒性,NR1H3,6850;1559;10062;7376
T27460,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3nc(C(=O)O)ccc3c2)cc1,SCD,0.3608,活性,低毒性,NR1H4,9971;1559
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,PPARG,0.3604,活性,低毒性,PPARD,5467
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,RXRB,0.354,活性,低毒性,NR1H4,9971
T68000L,CC[C@@H](Oc1cccc(-n2c(C)c(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O,PPARD,0.3523,活性,低毒性,PPARG,5468
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T5770,C[C@H](C[C@H](O)[C@H]1OC1(C)C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,THRB,0.3413,活性,低毒性,NR1H4,9971
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T15811,CN1CCN(C(=O)c2ccc(-n3nc(-c4ccc(C(=O)O)cc4)cc3-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)cc2)CC1,THRSP,0.334,活性,低毒性,RXRA,6256;5915;5916
T3988,CCCCCCCCCCCCCCOc1ccc(C(=O)O)o1,PPARG,0.3335,活性,毒性,ACACA,31;2648;51426;32;7421
T77337,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,THRSP,0.3293,活性,低毒性,NR1H3,10062
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T7768,C[C@H](CCOc1cccc(CC(=O)O)c1)N(Cc1cccc(C(F)(F)F)c1Cl)CC(c1ccccc1)c1ccccc1,THRSP,0.3125,活性,低毒性,NR1H3,10062;7376
T8780,O=S(=O)(Nc1cc(Cl)c(Oc2cnc3ccccc3c2)c(Cl)c1)c1ccc(Cl)cc1Cl,AOC3,0.3108,高活性,低毒性,PPARG,4837;2593;27232;1559;5409;5468;1551;3176
T20196,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,PPARG,0.3054,活性,毒性,PPARG,9356;9376;8856;5241;55867;5468
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1.O=S(=O)(O)O,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,RXRA,0.2966,活性,低毒性,PPARG,5468
T16930,CCOC(=O)c1ccc(CN(Cc2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)S(=O)(=O)c2c(C)cc(C)cc2C)o1,AOC3,0.2952,活性,低毒性,NR1H3,7376;10062;22260;22259
T39516,Cc1cnc(-c2ccc(C(F)(F)F)cc2)n1Cc1ccccc1OCCC[C@@H](C)CC(=O)O,THRSP,0.2849,活性,低毒性,PPARD,5467
T8374,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,FASN,0.2712,活性,低毒性,PPARG,5468
T10085,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,PPARG,0.269,活性,低毒性,NR1H3,6097;10062;5007;23762
TQ0274,C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,NR1H3,0.2661,活性,低毒性,NR1H3,5007;10062;7376;1880
T19711,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,PPARG,0.2566,活性,低毒性,NR1H3,6097;10062;7376
T16425,CCCCCCOc1cc2c(cc1N(C)c1ncc(C(=O)O)cn1)C(C)(C)CCC2(C)C,RXRG,0.2474,活性,毒性,NR1H3;PPARG;RXRA,6850;1551;5468;6256;1565;10062
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,PPARG,0.2467,活性,低毒性,PPARG,5468
T11428,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T4588,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T70348,Cc1cc(C(=O)O)nc(N2C[C@H]3C[C@@H](c4ccccc4C(F)(F)F)C[C@H]3C2)n1,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
TN7233,O=c1c(-c2ccc3c(c2)OCO3)coc2cc(O)ccc12,RXRG,0.15,活性,低毒性,PPARA,5465
