ID,DrugCLIP_Score,MASLD_Final_Score,Gene_UNIQ,Activity_Level,Toxicity_Level,Confirmed_Target
T11428,0.2395,0.7578,PPARG,高活性,低毒性,Yes
T11662L,0.3457,0.7404,PPARG,高活性,低毒性,
T11954,0.3186,0.7461,PPARG,活性,低毒性,Yes
T13092,0.542,0.7218,PPARG,高活性,低毒性,Yes
T13502,0.3098,0.7484,NR1H3,活性,低毒性,
T2744,0.3486,0.6536,THRB,活性,低毒性,
T2A2481,0.4729,0.8098,PPARG,活性,低毒性,Yes
T31964,0.2092,0.77,PPARG,活性,低毒性,
T34788,0.4573,0.6542,PPARG,活性,低毒性,
T35792,0.3572,0.7273,NR1H3,高活性,低毒性,
T4083,0.4473,0.82,NR1H3,活性,低毒性,
T4588,0.2308,0.7329,PPARG,活性,低毒性,Yes
T4727,0.4309,0.7871,PPARG,活性,低毒性,
T7184,0.4209,0.88,PPARG,活性,毒性,Yes
TQ0243,0.385,0.88,PPARG,活性,低毒性,
TQ0252,0.4551,0.82,NR1H3,活性,低毒性,Yes
