ID,SMILES,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Active_Targets,Active_Accessions
T20366,Cn1cccc1-c1cccnc1,THRSP,0.8423,活性,低毒性,1553;1548,P11509;Q16696
T60234,Nc1ccc(O)c2ncccc12,SCD,0.835,高活性,毒性,3326;3320;3620;56720;43740578;5693,AAD14062;P0DTD1;P48776;C7C422;P28776;P14902;NP_005339;P28074
TN6780,COc1cc(C(C)C)ccc1C,SCD,0.8276,活性,毒性,2101,ADZ17378
T19030,O=[N+]([O-])c1ccc(Cl)c2nonc12,PPARD,0.8271,活性,低毒性,3064;5570400,P42858;AGX85006
TN9217,COc1ccc(OC)c(C=O)c1,PPARA,0.8188,活性,低毒性,7157;1544,EAW99313;AFN61604
TN9794,CCCCCc1ccccc1,THRSP,0.8164,活性,毒性,,
T5206,Oc1n[nH]c2cc(F)ccc12,FASN,0.813,活性,低毒性,397134,P14920;P00371
T14955,O=C1NC(CCCl)Oc2ccccc21,FASN,0.8125,活性,低毒性,142,P09874
T7473,Brc1ccc2[nH]ccc2c1,GPAM,0.8115,活性,低毒性,4929;1548,P43354;P11509;P35869
TN9377,CCc1ccc2ccccc2c1,THRSP,0.811,活性,低毒性,13087,P20852
T3118,CC1(C)CC(=O)C2=C(C1)NC(=S)NC2c1cccc(O)c1,GPAM,0.8101,高活性,毒性,1551;7468;1559;6850,ABI96208;QLI62812;O96028;NP_000756;P52732;P43405
T77703,Cc1c[nH]c(C)c1,THRSP,0.8096,活性,低毒性,3145,P08397
T22013,Nc1nc2ncnc(N)c2[nH]1,THRSP,0.8071,活性,低毒性,,
TN9544,COc1ccc(C)cc1OC,FASN,0.8057,活性,低毒性,43,P22303
T9289,O.O.O.O.O.O.O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],MLXIPL,0.8032,活性,低毒性,5243,NP_000918
T4838,O=C(O)C[C@H](O)C(=O)O,THRSP,0.8013,活性,低毒性,,
T7716,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,GPAM,0.8008,活性,低毒性,,
T86994,CCNc1ccccc1C,THRSP,0.8003,活性,低毒性,,
T20513,NN=c1[nH]c2ccccc2s1,ACACA,0.7983,活性,低毒性,3620;3064,P14902;P42858;4KC3_B;AAB59829
T21278,COc1cccc(C)c1,RXRG,0.7959,活性,低毒性,43,P22303
TN6747,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,PPARG,0.792,活性,低毒性,50833,Q9NYV7
T9354,O=Cc1ccc(F)cc1F,GPAM,0.79,活性,低毒性,5185061,P0DPI0
T9372,N[C@H](Cc1c[nH]cn1)C(=O)O,ACACA,0.7832,活性,低毒性,759;71934;766;23632;763;377677;11238;761,P00915;P43166;Q9ULX7;2EZ7_A;Q8N1Q1;Q4CVY4;Q9D6N1;Q9Y2D0;P35218;P07451
T20285,Nc1ccccc1I,GPAM,0.7822,活性,低毒性,,P0DTD1
T7972,O=Cc1cc(O)c(O)c(O)c1,RXRA,0.7822,活性,低毒性,,
T16901,CCCCc1ccc(NC(C)=O)c(C)c1,AOC3,0.7808,活性,毒性,,Q13309
T16816,O=S1(=O)N[C@H]2CCCN2c2ccccc21,AOC3,0.7808,活性,低毒性,2890;2891;2892;2893,NP_001244952;NP_001243672;NP_001106283;NP_001077089
T77504,Clc1nc(Cl)c2sccc2n1,THRSP,0.7808,活性,毒性,,
TYD-00517,Cc1ccc2[nH]ccc2c1,THRSP,0.7764,活性,低毒性,,
T20038,Nc1nc(F)nc2[nH]cnc12,SCD,0.7759,活性,低毒性,814112,XP_001349989
T7977,[O-][n+]1onc2ccccc21,GPAM,0.7729,活性,低毒性,,
T3675,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,NR1H3,0.771,活性,低毒性,8972;4015;367562;2629;45424092;280798;100009066;23193;6476;178;100033901;2548;76051;497756,2J77_A;P35573;Q8BVW0;1OIM_A;P23739;P35574;P10253;P94451;NP_000143;P9WQ18;Q43014;Q14697;Q2M2H8;P28300;P14410;Q9LGC6;O43451;Q6P7A9;P81908;Q9MYM4;P04062
T4929,O=C(O)[C@H](CO)OP(=O)(O)O,THRSP,0.77,活性,低毒性,,4TIM_B;4TIM_A
T9760,CC(=O)c1ccc(N2CCOCC2)cc1O,NR1H3,0.7695,活性,低毒性,19090,P78527;P97313;NP_035289
T77560,Nc1nc(-c2ccc(Cl)cc2)cs1,PPARG,0.7681,活性,低毒性,6595,EAW58811
T5954,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O.O,AOC3,0.7676,活性,低毒性,10257,O15439
T77347,Nc1cccc(Br)n1,GPAM,0.7651,活性,低毒性,,P0DTD1;A0A072ZLE6
T19380,COc1c(O)cc(O)cc1O,FASN,0.7646,活性,低毒性,51426;4286,1DE9_A;NP_001341533;1JY1_A;NP_057302
T0660,O=C1CCc2ccccc2C1,PPARG,0.7642,活性,低毒性,13087,P20852
T8619,O=c1nc[nH]c2c(Cl)cccc12,PPARG,0.7637,高活性,低毒性,4916;3480;1025;1432;3718;4486;2869;2932;25;57551;4058;2260;57396;238;1613;5601;3717;10298;5159;2931;23683;5613;120892;815;1436;4233;9149;10188;5588;1020;142;5566;695;6197;1859;1022;2321;5292;5871;6790;7301;1452;5605;1196;29110;5747;5604;9448;5979;57118;9641;5156;5599,P09874
